subject_id,session_id,peak_emotion,ckplus_labelled,count
S503,1,anger,1,71
S501,1,anger,1,67
S133,3,anger,1,47
S506,1,anger,1,40
S089,3,anger,1,36
S022,5,anger,1,32
S014,3,anger,1,30
S045,5,anger,1,30
S126,8,anger,1,29
S055,4,anger,1,28
S071,4,anger,1,28
S034,3,anger,1,27
S028,1,anger,1,24
S067,4,anger,1,23
S100,5,anger,1,23
S113,8,anger,1,23
S037,3,anger,1,22
S504,1,anger,1,22
S011,4,anger,1,21
S050,4,anger,1,21
S042,4,anger,1,20
S130,7,anger,1,20
S010,4,anger,1,19
S029,1,anger,1,19
S072,5,anger,1,19
S119,8,anger,1,18
S127,10,anger,1,18
S999,1,anger,1,18
S032,3,anger,1,17
S082,5,anger,1,17
S109,3,anger,1,17
S112,5,anger,1,17
S087,7,anger,1,16
S502,1,anger,1,16
S026,3,anger,1,15
S090,7,anger,1,14
S092,3,anger,1,14
S075,8,anger,1,12
S066,5,anger,1,11
S134,3,anger,1,11
S058,5,anger,1,10
S111,6,anger,1,10
S117,6,anger,1,10
S129,6,anger,1,10
S136,5,anger,1,10
S106,5,anger,0,35
S098,1,anger,0,28
S110,6,anger,0,27
S118,5,anger,0,26
S101,3,anger,0,25
S107,3,anger,0,21
S052,3,anger,0,19
S084,4,anger,0,17
S056,1,anger,0,16
S081,4,anger,0,15
S132,4,anger,0,15
S128,3,anger,0,10
S108,7,anger,0,8
