subject_id,session_id,peak_emotion,ckplus_labelled,count
S151,2,contempt,1,29
S156,2,contempt,1,21
S505,2,contempt,1,21
S148,2,contempt,1,15
S139,2,contempt,1,13
S147,2,contempt,1,13
S149,2,contempt,1,13
S154,2,contempt,1,13
S155,2,contempt,1,12
S157,2,contempt,1,11
S158,2,contempt,1,11
S160,6,contempt,1,10
S138,8,contempt,1,9
S502,2,contempt,1,9
S504,2,contempt,1,9
S506,2,contempt,1,9
S503,2,contempt,1,8
S895,2,contempt,1,7
S105,7,contempt,0,30
S064,2,contempt,0,29
S069,5,contempt,0,23
S052,2,contempt,0,22
S133,2,contempt,0,20
S107,2,contempt,0,17
S116,5,contempt,0,17
S122,4,contempt,0,17
