subject_id,session_id,peak_emotion,ckplus_labelled,count
S097,4,disgust,1,30
S062,5,disgust,1,29
S054,4,disgust,1,24
S061,4,disgust,1,22
S060,5,disgust,1,21
S068,5,disgust,1,21
S011,5,disgust,1,20
S088,4,disgust,1,20
S108,6,disgust,1,20
S035,5,disgust,1,19
S044,6,disgust,1,19
S051,3,disgust,1,18
S058,6,disgust,1,18
S074,4,disgust,1,18
S129,11,disgust,1,18
S131,10,disgust,1,18
S022,6,disgust,1,17
S046,4,disgust,1,17
S085,4,disgust,1,17
S032,5,disgust,1,16
S070,5,disgust,1,16
S132,5,disgust,1,16
S045,4,disgust,1,15
S057,3,disgust,1,15
S102,9,disgust,1,15
S071,6,disgust,1,14
S073,6,disgust,1,14
S077,6,disgust,1,14
S109,5,disgust,1,14
S111,7,disgust,1,14
S052,6,disgust,1,13
S078,7,disgust,1,13
S095,6,disgust,1,13
S098,3,disgust,1,13
S128,4,disgust,1,13
S134,8,disgust,1,13
S075,5,disgust,1,12
S076,5,disgust,1,12
S079,2,disgust,1,12
S087,4,disgust,1,12
S096,3,disgust,1,12
S099,7,disgust,1,12
S005,1,disgust,1,11
S067,6,disgust,1,11
S069,3,disgust,1,11
S081,8,disgust,1,11
S090,6,disgust,1,11
S107,5,disgust,1,11
S124,6,disgust,1,11
S130,12,disgust,1,11
S056,2,disgust,1,10
S082,7,disgust,1,10
S105,8,disgust,1,10
S125,8,disgust,1,10
S055,3,disgust,1,9
S080,8,disgust,1,9
S065,5,disgust,1,8
S106,4,disgust,1,8
S116,6,disgust,1,7
S037,4,disgust,0,66
S053,3,disgust,0,65
S034,4,disgust,0,37
S059,3,disgust,0,36
S050,3,disgust,0,21
S014,4,disgust,0,19
S042,5,disgust,0,19
S121,3,disgust,0,18
S010,5,disgust,0,16
S118,6,disgust,0,15
S136,4,disgust,0,15
S026,4,disgust,0,12
S093,3,disgust,0,12
