subject_id,session_id,peak_emotion,ckplus_labelled,count
S501,4,fear,1,56
S999,3,fear,1,55
S502,4,fear,1,52
S506,4,fear,1,38
S119,3,fear,1,24
S084,2,fear,1,23
S132,3,fear,1,23
S065,2,fear,1,22
S125,6,fear,1,22
S074,1,fear,1,20
S050,1,fear,1,17
S059,2,fear,1,17
S062,1,fear,1,17
S046,3,fear,1,16
S102,3,fear,1,16
S054,2,fear,1,15
S091,1,fear,1,15
S504,4,fear,1,15
S011,3,fear,1,14
S032,4,fear,1,14
S117,3,fear,1,14
S138,1,fear,1,12
S124,3,fear,1,11
S068,4,fear,1,10
S055,6,fear,1,8
S103,2,fear,0,26
S093,2,fear,0,24
S115,2,fear,0,24
S110,2,fear,0,23
S134,1,fear,0,23
S037,5,fear,0,22
S075,7,fear,0,22
S073,5,fear,0,21
S082,6,fear,0,21
S109,1,fear,0,21
S113,6,fear,0,21
S057,4,fear,0,20
S077,5,fear,0,20
S099,2,fear,0,20
S078,3,fear,0,19
S044,2,fear,0,18
S067,3,fear,0,18
S079,3,fear,0,16
S118,1,fear,0,16
S095,2,fear,0,15
S010,1,fear,0,14
S042,3,fear,0,14
S100,1,fear,0,14
S112,2,fear,0,14
S128,5,fear,0,14
S111,3,fear,0,12
S136,2,fear,0,12
S107,4,fear,0,11
S098,2,fear,0,10
S101,5,fear,0,6
