subject_id,session_id,peak_emotion,ckplus_labelled,count
S055,5,happiness,1,45
S074,5,happiness,1,43
S052,4,happiness,1,33
S057,6,happiness,1,33
S065,4,happiness,1,28
S078,4,happiness,1,27
S060,2,happiness,1,26
S079,4,happiness,1,26
S064,3,happiness,1,25
S075,6,happiness,1,25
S053,4,happiness,1,24
S062,4,happiness,1,24
S092,4,happiness,1,24
S124,7,happiness,1,24
S050,6,happiness,1,23
S063,2,happiness,1,23
S114,6,happiness,1,23
S132,6,happiness,1,23
S067,5,happiness,1,22
S072,6,happiness,1,22
S131,6,happiness,1,22
S037,6,happiness,1,21
S071,5,happiness,1,21
S089,2,happiness,1,21
S091,3,happiness,1,21
S095,7,happiness,1,21
S056,4,happiness,1,20
S135,12,happiness,1,20
S136,6,happiness,1,20
S137,11,happiness,1,20
S076,6,happiness,1,19
S083,3,happiness,1,19
S097,6,happiness,1,19
S035,6,happiness,1,18
S014,5,happiness,1,17
S042,6,happiness,1,17
S069,4,happiness,1,17
S070,3,happiness,1,17
S115,8,happiness,1,17
S116,7,happiness,1,17
S032,6,happiness,1,16
S093,4,happiness,1,16
S100,6,happiness,1,16
S127,4,happiness,1,16
S128,11,happiness,1,16
S138,5,happiness,1,16
S010,6,happiness,1,15
S061,2,happiness,1,15
S068,2,happiness,1,15
S086,2,happiness,1,15
S098,4,happiness,1,15
S099,4,happiness,1,15
S109,6,happiness,1,15
S130,13,happiness,1,15
S134,4,happiness,1,15
S044,3,happiness,1,14
S085,2,happiness,1,14
S133,10,happiness,1,14
S011,6,happiness,1,13
S026,6,happiness,1,13
S108,8,happiness,1,13
S125,5,happiness,1,13
S066,3,happiness,1,12
S087,5,happiness,1,12
S094,4,happiness,1,12
S096,4,happiness,1,11
S106,6,happiness,1,11
S129,12,happiness,1,11
S034,5,happiness,1,10
S022,3,happiness,0,33
S077,2,happiness,0,33
S073,2,happiness,0,29
S110,7,happiness,0,29
S104,1,happiness,0,28
S105,4,happiness,0,27
S046,5,happiness,0,23
S102,4,happiness,0,23
S113,4,happiness,0,23
S058,2,happiness,0,22
S054,1,happiness,0,20
S081,5,happiness,0,19
S101,4,happiness,0,18
S045,3,happiness,0,17
S088,2,happiness,0,17
S119,5,happiness,0,17
S117,7,happiness,0,16
S121,1,happiness,0,16
S111,2,happiness,0,15
S080,2,happiness,0,13
S118,2,happiness,0,12
