subject_id,session_id,peak_emotion,ckplus_labelled,count
S506,6,sadness,1,42
S501,6,sadness,1,41
S137,5,sadness,1,27
S046,1,sadness,1,25
S081,2,sadness,1,24
S131,3,sadness,1,24
S011,2,sadness,1,22
S108,5,sadness,1,22
S071,2,sadness,1,20
S093,1,sadness,1,20
S503,6,sadness,1,20
S130,9,sadness,1,19
S505,6,sadness,1,19
S132,2,sadness,1,18
S504,6,sadness,1,18
S115,4,sadness,1,17
S014,2,sadness,1,16
S026,2,sadness,1,16
S042,2,sadness,1,16
S106,2,sadness,1,16
S113,3,sadness,1,15
S064,4,sadness,1,14
S095,10,sadness,1,14
S125,1,sadness,1,14
S136,3,sadness,1,14
S080,5,sadness,1,13
S138,7,sadness,1,11
S066,4,sadness,1,10
S124,5,sadness,0,43
S122,5,sadness,0,34
S044,4,sadness,0,29
S077,7,sadness,0,29
S073,3,sadness,0,28
S055,2,sadness,0,25
S082,2,sadness,0,25
S068,1,sadness,0,24
S105,2,sadness,0,24
S110,5,sadness,0,24
S119,2,sadness,0,24
S022,4,sadness,0,23
S078,5,sadness,0,22
S114,5,sadness,0,22
S032,2,sadness,0,21
S060,1,sadness,0,20
S120,2,sadness,0,20
S010,3,sadness,0,18
S065,1,sadness,0,18
S076,3,sadness,0,18
S072,1,sadness,0,17
S085,1,sadness,0,17
S117,2,sadness,0,17
S035,4,sadness,0,16
S112,4,sadness,0,16
S057,2,sadness,0,15
S102,6,sadness,0,15
S116,4,sadness,0,15
S127,3,sadness,0,15
S133,4,sadness,0,15
S045,2,sadness,0,14
S099,3,sadness,0,14
S075,1,sadness,0,13
S100,3,sadness,0,13
S135,3,sadness,0,13
S129,1,sadness,0,11
S107,6,sadness,0,9
S091,2,sadness,0,7
S096,2,sadness,0,6
