,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_anger,neutral_anger,neutral,distance,LinearDiscriminantAnalysis,97.0
1,neutral_anger,neutral_anger,anger,distance,LinearDiscriminantAnalysis,97.48275862068967
2,neutral_anger,neutral_anger,neutral_anger,distance,LinearDiscriminantAnalysis,99.31034482758622
3,neutral_anger,neutral_anger,neutral,distance,SVC,94.44827586206897
4,neutral_anger,neutral_anger,anger,distance,SVC,84.89655172413794
5,neutral_anger,neutral_anger,neutral_anger,distance,SVC,93.86206896551725
6,neutral_anger,neutral_anger,neutral,distance,LogisticRegression,95.0
7,neutral_anger,neutral_anger,anger,distance,LogisticRegression,90.58620689655172
8,neutral_anger,neutral_anger,neutral_anger,distance,LogisticRegression,97.27586206896552
9,neutral_anger,neutral_anger,neutral,distance,BaggingClassifier,94.65517241379311
10,neutral_anger,neutral_anger,anger,distance,BaggingClassifier,87.9655172413793
11,neutral_anger,neutral_anger,neutral_anger,distance,BaggingClassifier,93.41379310344828
12,neutral_anger,neutral_anger,neutral,distance,RandomForestClassifier,97.93103448275863
13,neutral_anger,neutral_anger,anger,distance,RandomForestClassifier,94.48275862068967
14,neutral_anger,neutral_anger,neutral_anger,distance,RandomForestClassifier,97.6896551724138
15,neutral_anger,neutral_anger,neutral,distance,ExtraTreesClassifier,99.13793103448276
16,neutral_anger,neutral_anger,anger,distance,ExtraTreesClassifier,95.44827586206897
17,neutral_anger,neutral_anger,neutral_anger,distance,ExtraTreesClassifier,98.79310344827586
