,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,98.69090909090909
1,neutral,neutral,disgust,distance,LinearDiscriminantAnalysis,93.38181818181818
2,neutral,neutral,neutral_disgust,distance,LinearDiscriminantAnalysis,99.49090909090908
3,neutral,disgust,neutral,distance,LinearDiscriminantAnalysis,87.05454545454545
4,neutral,disgust,disgust,distance,LinearDiscriminantAnalysis,68.58181818181819
5,neutral,disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,93.60000000000001
6,disgust,neutral,neutral,distance,LinearDiscriminantAnalysis,76.72727272727273
7,disgust,neutral,disgust,distance,LinearDiscriminantAnalysis,51.78181818181818
8,disgust,neutral,neutral_disgust,distance,LinearDiscriminantAnalysis,86.83636363636364
9,disgust,disgust,neutral,distance,LinearDiscriminantAnalysis,99.12727272727273
10,disgust,disgust,disgust,distance,LinearDiscriminantAnalysis,96.5090909090909
11,disgust,disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,99.92727272727274
12,neutral_disgust,neutral_disgust,neutral,distance,LinearDiscriminantAnalysis,98.03636363636363
13,neutral_disgust,neutral_disgust,disgust,distance,LinearDiscriminantAnalysis,93.23636363636365
14,neutral_disgust,neutral_disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,99.92727272727274
15,neutral,neutral,neutral,distance,LinearSVC,92.8
16,neutral,neutral,disgust,distance,LinearSVC,83.34545454545454
17,neutral,neutral,neutral_disgust,distance,LinearSVC,97.16363636363637
18,neutral,disgust,neutral,distance,LinearSVC,59.63636363636363
19,neutral,disgust,disgust,distance,LinearSVC,48.29090909090908
20,neutral,disgust,neutral_disgust,distance,LinearSVC,76.58181818181818
21,disgust,neutral,neutral,distance,LinearSVC,49.81818181818181
22,disgust,neutral,disgust,distance,LinearSVC,33.45454545454545
23,disgust,neutral,neutral_disgust,distance,LinearSVC,59.85454545454545
24,disgust,disgust,neutral,distance,LinearSVC,93.89090909090909
25,disgust,disgust,disgust,distance,LinearSVC,91.05454545454545
26,disgust,disgust,neutral_disgust,distance,LinearSVC,99.12727272727274
27,neutral_disgust,neutral_disgust,neutral,distance,LinearSVC,89.52727272727272
28,neutral_disgust,neutral_disgust,disgust,distance,LinearSVC,83.12727272727273
29,neutral_disgust,neutral_disgust,neutral_disgust,distance,LinearSVC,98.21818181818182
30,neutral,neutral,neutral,distance,SVC,92.87272727272727
31,neutral,neutral,disgust,distance,SVC,79.2
32,neutral,neutral,neutral_disgust,distance,SVC,91.7090909090909
33,neutral,disgust,neutral,distance,SVC,65.01818181818183
34,neutral,disgust,disgust,distance,SVC,38.25454545454545
35,neutral,disgust,neutral_disgust,distance,SVC,61.45454545454545
36,disgust,neutral,neutral,distance,SVC,52.94545454545454
37,disgust,neutral,disgust,distance,SVC,27.345454545454544
38,disgust,neutral,neutral_disgust,distance,SVC,46.10909090909091
39,disgust,disgust,neutral,distance,SVC,96.94545454545454
40,disgust,disgust,disgust,distance,SVC,88.43636363636364
41,disgust,disgust,neutral_disgust,distance,SVC,98.69090909090909
42,neutral_disgust,neutral_disgust,neutral,distance,SVC,89.78181818181818
43,neutral_disgust,neutral_disgust,disgust,distance,SVC,73.0909090909091
44,neutral_disgust,neutral_disgust,neutral_disgust,distance,SVC,94.14545454545454
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,75.34545454545454
46,neutral,neutral,disgust,distance,DecisionTreeClassifier,66.76363636363637
47,neutral,neutral,neutral_disgust,distance,DecisionTreeClassifier,72.43636363636364
48,neutral,disgust,neutral,distance,DecisionTreeClassifier,31.272727272727273
49,neutral,disgust,disgust,distance,DecisionTreeClassifier,24.0
50,neutral,disgust,neutral_disgust,distance,DecisionTreeClassifier,28.87272727272727
51,disgust,neutral,neutral,distance,DecisionTreeClassifier,20.290909090909093
52,disgust,neutral,disgust,distance,DecisionTreeClassifier,13.745454545454546
53,disgust,neutral,neutral_disgust,distance,DecisionTreeClassifier,17.672727272727272
54,disgust,disgust,neutral,distance,DecisionTreeClassifier,73.81818181818183
55,disgust,disgust,disgust,distance,DecisionTreeClassifier,67.12727272727273
56,disgust,disgust,neutral_disgust,distance,DecisionTreeClassifier,70.9090909090909
57,neutral_disgust,neutral_disgust,neutral,distance,DecisionTreeClassifier,89.34545454545454
58,neutral_disgust,neutral_disgust,disgust,distance,DecisionTreeClassifier,77.92727272727271
59,neutral_disgust,neutral_disgust,neutral_disgust,distance,DecisionTreeClassifier,89.27272727272727
60,neutral,neutral,neutral,distance,ExtraTreeClassifier,78.76363636363637
61,neutral,neutral,disgust,distance,ExtraTreeClassifier,64.2909090909091
62,neutral,neutral,neutral_disgust,distance,ExtraTreeClassifier,77.45454545454547
63,neutral,disgust,neutral,distance,ExtraTreeClassifier,40.8
64,neutral,disgust,disgust,distance,ExtraTreeClassifier,24.581818181818182
65,neutral,disgust,neutral_disgust,distance,ExtraTreeClassifier,38.25454545454545
66,disgust,neutral,neutral,distance,ExtraTreeClassifier,30.545454545454547
67,disgust,neutral,disgust,distance,ExtraTreeClassifier,17.527272727272727
68,disgust,neutral,neutral_disgust,distance,ExtraTreeClassifier,27.709090909090904
69,disgust,disgust,neutral,distance,ExtraTreeClassifier,76.07272727272728
70,disgust,disgust,disgust,distance,ExtraTreeClassifier,66.69090909090909
71,disgust,disgust,neutral_disgust,distance,ExtraTreeClassifier,77.23636363636365
72,neutral_disgust,neutral_disgust,neutral,distance,ExtraTreeClassifier,82.2909090909091
73,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreeClassifier,68.36363636363636
74,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreeClassifier,82.14545454545454
75,neutral,neutral,neutral,distance,LogisticRegression,95.41818181818181
76,neutral,neutral,disgust,distance,LogisticRegression,83.34545454545456
77,neutral,neutral,neutral_disgust,distance,LogisticRegression,94.54545454545455
78,neutral,disgust,neutral,distance,LogisticRegression,64.36363636363636
79,neutral,disgust,disgust,distance,LogisticRegression,44.945454545454545
80,neutral,disgust,neutral_disgust,distance,LogisticRegression,69.45454545454545
81,disgust,neutral,neutral,distance,LogisticRegression,55.27272727272727
82,disgust,neutral,disgust,distance,LogisticRegression,30.254545454545458
83,disgust,neutral,neutral_disgust,distance,LogisticRegression,55.12727272727271
84,disgust,disgust,neutral,distance,LogisticRegression,97.01818181818182
85,disgust,disgust,disgust,distance,LogisticRegression,91.12727272727271
86,disgust,disgust,neutral_disgust,distance,LogisticRegression,99.05454545454545
87,neutral_disgust,neutral_disgust,neutral,distance,LogisticRegression,92.61818181818182
88,neutral_disgust,neutral_disgust,disgust,distance,LogisticRegression,80.39999999999999
89,neutral_disgust,neutral_disgust,neutral_disgust,distance,LogisticRegression,97.85454545454546
90,neutral,neutral,neutral,distance,Perceptron,66.47272727272727
91,neutral,neutral,disgust,distance,Perceptron,50.47272727272727
92,neutral,neutral,neutral_disgust,distance,Perceptron,86.9090909090909
93,neutral,disgust,neutral,distance,Perceptron,43.05454545454545
94,neutral,disgust,disgust,distance,Perceptron,26.981818181818184
95,neutral,disgust,neutral_disgust,distance,Perceptron,53.381818181818176
96,disgust,neutral,neutral,distance,Perceptron,33.30909090909091
97,disgust,neutral,disgust,distance,Perceptron,18.472727272727273
98,disgust,neutral,neutral_disgust,distance,Perceptron,45.599999999999994
99,disgust,disgust,neutral,distance,Perceptron,67.7090909090909
100,disgust,disgust,disgust,distance,Perceptron,51.272727272727266
101,disgust,disgust,neutral_disgust,distance,Perceptron,91.34545454545454
102,neutral_disgust,neutral_disgust,neutral,distance,Perceptron,63.018181818181816
103,neutral_disgust,neutral_disgust,disgust,distance,Perceptron,45.96363636363636
104,neutral_disgust,neutral_disgust,neutral_disgust,distance,Perceptron,89.56363636363636
105,neutral,neutral,neutral,distance,KNeighborsClassifier,51.63636363636363
106,neutral,neutral,disgust,distance,KNeighborsClassifier,51.63636363636363
107,neutral,neutral,neutral_disgust,distance,KNeighborsClassifier,53.236363636363635
108,neutral,disgust,neutral,distance,KNeighborsClassifier,37.236363636363635
109,neutral,disgust,disgust,distance,KNeighborsClassifier,23.345454545454544
110,neutral,disgust,neutral_disgust,distance,KNeighborsClassifier,39.70909090909091
111,disgust,neutral,neutral,distance,KNeighborsClassifier,26.690909090909088
112,disgust,neutral,disgust,distance,KNeighborsClassifier,14.254545454545454
113,disgust,neutral,neutral_disgust,distance,KNeighborsClassifier,23.272727272727273
114,disgust,disgust,neutral,distance,KNeighborsClassifier,50.98181818181817
115,disgust,disgust,disgust,distance,KNeighborsClassifier,47.345454545454544
116,disgust,disgust,neutral_disgust,distance,KNeighborsClassifier,53.527272727272724
117,neutral_disgust,neutral_disgust,neutral,distance,KNeighborsClassifier,79.56363636363636
118,neutral_disgust,neutral_disgust,disgust,distance,KNeighborsClassifier,63.636363636363626
119,neutral_disgust,neutral_disgust,neutral_disgust,distance,KNeighborsClassifier,77.78181818181818
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,95.19999999999999
121,neutral,neutral,disgust,distance,GaussianProcessClassifier,84.87272727272726
122,neutral,neutral,neutral_disgust,distance,GaussianProcessClassifier,94.25454545454545
123,neutral,disgust,neutral,distance,GaussianProcessClassifier,68.65454545454546
124,neutral,disgust,disgust,distance,GaussianProcessClassifier,43.63636363636363
125,neutral,disgust,neutral_disgust,distance,GaussianProcessClassifier,66.54545454545455
126,disgust,neutral,neutral,distance,GaussianProcessClassifier,56.58181818181818
127,disgust,neutral,disgust,distance,GaussianProcessClassifier,30.909090909090907
128,disgust,neutral,neutral_disgust,distance,GaussianProcessClassifier,49.81818181818182
129,disgust,disgust,neutral,distance,GaussianProcessClassifier,97.60000000000001
130,disgust,disgust,disgust,distance,GaussianProcessClassifier,92.43636363636364
131,disgust,disgust,neutral_disgust,distance,GaussianProcessClassifier,98.76363636363637
132,neutral_disgust,neutral_disgust,neutral,distance,GaussianProcessClassifier,96.6909090909091
133,neutral_disgust,neutral_disgust,disgust,distance,GaussianProcessClassifier,89.01818181818182
134,neutral_disgust,neutral_disgust,neutral_disgust,distance,GaussianProcessClassifier,97.8909090909091
135,neutral,neutral,neutral,distance,GaussianNB,77.16363636363636
136,neutral,neutral,disgust,distance,GaussianNB,67.2
137,neutral,neutral,neutral_disgust,distance,GaussianNB,73.52727272727273
