,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,98.83636363636364
1,neutral,neutral,sadness,distance,LinearDiscriminantAnalysis,97.81818181818183
2,neutral,neutral,neutral_sadness,distance,LinearDiscriminantAnalysis,99.63636363636364
3,neutral,sadness,neutral,distance,LinearDiscriminantAnalysis,90.90909090909089
4,neutral,sadness,sadness,distance,LinearDiscriminantAnalysis,89.81818181818181
5,neutral,sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,97.67272727272727
6,sadness,neutral,neutral,distance,LinearDiscriminantAnalysis,82.83636363636363
7,sadness,neutral,sadness,distance,LinearDiscriminantAnalysis,81.60000000000001
8,sadness,neutral,neutral_sadness,distance,LinearDiscriminantAnalysis,93.09090909090908
9,sadness,sadness,neutral,distance,LinearDiscriminantAnalysis,99.34545454545454
10,sadness,sadness,sadness,distance,LinearDiscriminantAnalysis,99.41818181818182
11,sadness,sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,100.0
12,neutral_sadness,neutral_sadness,neutral,distance,LinearDiscriminantAnalysis,98.58181818181819
13,neutral_sadness,neutral_sadness,sadness,distance,LinearDiscriminantAnalysis,98.54545454545455
14,neutral_sadness,neutral_sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,99.85454545454546
15,neutral,neutral,neutral,distance,LinearSVC,89.96363636363637
16,neutral,neutral,sadness,distance,LinearSVC,96.36363636363636
17,neutral,neutral,neutral_sadness,distance,LinearSVC,98.83636363636363
18,neutral,sadness,neutral,distance,LinearSVC,76.2909090909091
19,neutral,sadness,sadness,distance,LinearSVC,81.89090909090909
20,neutral,sadness,neutral_sadness,distance,LinearSVC,93.38181818181818
21,sadness,neutral,neutral,distance,LinearSVC,73.3090909090909
22,sadness,neutral,sadness,distance,LinearSVC,77.89090909090909
23,sadness,neutral,neutral_sadness,distance,LinearSVC,89.74545454545455
24,sadness,sadness,neutral,distance,LinearSVC,95.85454545454546
25,sadness,sadness,sadness,distance,LinearSVC,99.85454545454546
26,sadness,sadness,neutral_sadness,distance,LinearSVC,100.0
27,neutral_sadness,neutral_sadness,neutral,distance,LinearSVC,91.45454545454545
28,neutral_sadness,neutral_sadness,sadness,distance,LinearSVC,97.63636363636364
29,neutral_sadness,neutral_sadness,neutral_sadness,distance,LinearSVC,99.38181818181818
30,neutral,neutral,neutral,distance,SVC,95.27272727272728
31,neutral,neutral,sadness,distance,SVC,93.38181818181818
32,neutral,neutral,neutral_sadness,distance,SVC,96.72727272727273
33,neutral,sadness,neutral,distance,SVC,83.34545454545454
34,neutral,sadness,sadness,distance,SVC,81.6
35,neutral,sadness,neutral_sadness,distance,SVC,91.2
36,sadness,neutral,neutral,distance,SVC,76.94545454545455
37,sadness,neutral,sadness,distance,SVC,72.87272727272727
38,sadness,neutral,neutral_sadness,distance,SVC,83.63636363636364
39,sadness,sadness,neutral,distance,SVC,98.69090909090909
40,sadness,sadness,sadness,distance,SVC,99.05454545454546
41,sadness,sadness,neutral_sadness,distance,SVC,100.0
42,neutral_sadness,neutral_sadness,neutral,distance,SVC,95.56363636363638
43,neutral_sadness,neutral_sadness,sadness,distance,SVC,94.5090909090909
44,neutral_sadness,neutral_sadness,neutral_sadness,distance,SVC,98.83636363636364
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,70.83636363636364
46,neutral,neutral,sadness,distance,DecisionTreeClassifier,69.74545454545455
47,neutral,neutral,neutral_sadness,distance,DecisionTreeClassifier,72.43636363636364
48,neutral,sadness,neutral,distance,DecisionTreeClassifier,44.07272727272727
49,neutral,sadness,sadness,distance,DecisionTreeClassifier,37.67272727272727
50,neutral,sadness,neutral_sadness,distance,DecisionTreeClassifier,43.27272727272727
51,sadness,neutral,neutral,distance,DecisionTreeClassifier,36.945454545454545
52,sadness,neutral,sadness,distance,DecisionTreeClassifier,32.872727272727275
53,sadness,neutral,neutral_sadness,distance,DecisionTreeClassifier,38.18181818181818
54,sadness,sadness,neutral,distance,DecisionTreeClassifier,75.70909090909092
55,sadness,sadness,sadness,distance,DecisionTreeClassifier,74.83636363636363
56,sadness,sadness,neutral_sadness,distance,DecisionTreeClassifier,76.58181818181819
