,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_disgust,neutral_disgust,neutral,distance,LinearDiscriminantAnalysis,97.77083333333334
1,neutral_disgust,neutral_disgust,disgust,distance,LinearDiscriminantAnalysis,97.96527777777777
2,neutral_disgust,neutral_disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,99.97916666666667
3,neutral_disgust,neutral_disgust,neutral,distance,SVC,88.64583333333333
4,neutral_disgust,neutral_disgust,disgust,distance,SVC,86.81250000000001
5,neutral_disgust,neutral_disgust,neutral_disgust,distance,SVC,95.31249999999999
6,neutral_disgust,neutral_disgust,neutral,distance,LogisticRegression,92.29166666666667
7,neutral_disgust,neutral_disgust,disgust,distance,LogisticRegression,93.1388888888889
8,neutral_disgust,neutral_disgust,neutral_disgust,distance,LogisticRegression,98.40972222222224
9,neutral_disgust,neutral_disgust,neutral,distance,BaggingClassifier,95.28472222222221
10,neutral_disgust,neutral_disgust,disgust,distance,BaggingClassifier,90.93055555555554
11,neutral_disgust,neutral_disgust,neutral_disgust,distance,BaggingClassifier,95.35416666666667
12,neutral_disgust,neutral_disgust,neutral,distance,RandomForestClassifier,97.97222222222223
13,neutral_disgust,neutral_disgust,disgust,distance,RandomForestClassifier,95.88194444444446
14,neutral_disgust,neutral_disgust,neutral_disgust,distance,RandomForestClassifier,98.375
15,neutral_disgust,neutral_disgust,neutral,distance,ExtraTreesClassifier,98.85416666666667
16,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreesClassifier,96.625
17,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreesClassifier,99.09027777777777
