,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,98.3888888888889
1,neutral,neutral,disgust,distance,LinearDiscriminantAnalysis,91.8888888888889
2,neutral,neutral,neutral_disgust,distance,LinearDiscriminantAnalysis,99.44444444444444
3,neutral,disgust,neutral,distance,LinearDiscriminantAnalysis,84.38888888888889
4,neutral,disgust,disgust,distance,LinearDiscriminantAnalysis,64.88888888888889
5,neutral,disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,91.05555555555554
6,disgust,neutral,neutral,distance,LinearDiscriminantAnalysis,73.50000000000001
7,disgust,neutral,disgust,distance,LinearDiscriminantAnalysis,49.5
8,disgust,neutral,neutral_disgust,distance,LinearDiscriminantAnalysis,85.61111111111111
9,disgust,disgust,neutral,distance,LinearDiscriminantAnalysis,98.05555555555554
10,disgust,disgust,disgust,distance,LinearDiscriminantAnalysis,94.27777777777779
11,disgust,disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,99.38888888888889
12,neutral_disgust,neutral_disgust,neutral,distance,LinearDiscriminantAnalysis,97.30555555555557
13,neutral_disgust,neutral_disgust,disgust,distance,LinearDiscriminantAnalysis,89.66666666666667
14,neutral_disgust,neutral_disgust,neutral_disgust,distance,LinearDiscriminantAnalysis,99.91666666666666
15,neutral,neutral,neutral,distance,LinearSVC,91.77777777777779
16,neutral,neutral,disgust,distance,LinearSVC,79.44444444444446
17,neutral,neutral,neutral_disgust,distance,LinearSVC,96.27777777777779
18,neutral,disgust,neutral,distance,LinearSVC,57.88888888888889
19,neutral,disgust,disgust,distance,LinearSVC,47.05555555555556
20,neutral,disgust,neutral_disgust,distance,LinearSVC,74.22222222222221
21,disgust,neutral,neutral,distance,LinearSVC,49.833333333333336
22,disgust,neutral,disgust,distance,LinearSVC,33.11111111111111
23,disgust,neutral,neutral_disgust,distance,LinearSVC,62.22222222222222
24,disgust,disgust,neutral,distance,LinearSVC,92.16666666666667
25,disgust,disgust,disgust,distance,LinearSVC,89.44444444444444
26,disgust,disgust,neutral_disgust,distance,LinearSVC,98.66666666666667
27,neutral_disgust,neutral_disgust,neutral,distance,LinearSVC,88.08333333333333
28,neutral_disgust,neutral_disgust,disgust,distance,LinearSVC,80.3611111111111
29,neutral_disgust,neutral_disgust,neutral_disgust,distance,LinearSVC,97.91666666666669
30,neutral,neutral,neutral,distance,SVC,92.94444444444446
31,neutral,neutral,disgust,distance,SVC,78.55555555555556
32,neutral,neutral,neutral_disgust,distance,SVC,91.38888888888889
33,neutral,disgust,neutral,distance,SVC,63.22222222222222
34,neutral,disgust,disgust,distance,SVC,37.166666666666664
35,neutral,disgust,neutral_disgust,distance,SVC,60.66666666666667
36,disgust,neutral,neutral,distance,SVC,49.11111111111111
37,disgust,neutral,disgust,distance,SVC,26.44444444444445
38,disgust,neutral,neutral_disgust,distance,SVC,44.888888888888886
39,disgust,disgust,neutral,distance,SVC,94.83333333333334
40,disgust,disgust,disgust,distance,SVC,86.22222222222223
41,disgust,disgust,neutral_disgust,distance,SVC,96.88888888888889
42,neutral_disgust,neutral_disgust,neutral,distance,SVC,88.22222222222223
43,neutral_disgust,neutral_disgust,disgust,distance,SVC,69.83333333333331
44,neutral_disgust,neutral_disgust,neutral_disgust,distance,SVC,93.66666666666666
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,74.83333333333334
46,neutral,neutral,disgust,distance,DecisionTreeClassifier,67.77777777777777
47,neutral,neutral,neutral_disgust,distance,DecisionTreeClassifier,73.44444444444446
48,neutral,disgust,neutral,distance,DecisionTreeClassifier,29.055555555555557
49,neutral,disgust,disgust,distance,DecisionTreeClassifier,22.555555555555554
50,neutral,disgust,neutral_disgust,distance,DecisionTreeClassifier,26.722222222222218
51,disgust,neutral,neutral,distance,DecisionTreeClassifier,21.88888888888889
52,disgust,neutral,disgust,distance,DecisionTreeClassifier,14.38888888888889
53,disgust,neutral,neutral_disgust,distance,DecisionTreeClassifier,19.055555555555554
54,disgust,disgust,neutral,distance,DecisionTreeClassifier,74.00000000000001
55,disgust,disgust,disgust,distance,DecisionTreeClassifier,67.5
56,disgust,disgust,neutral_disgust,distance,DecisionTreeClassifier,71.5
57,neutral_disgust,neutral_disgust,neutral,distance,DecisionTreeClassifier,87.61111111111111
58,neutral_disgust,neutral_disgust,disgust,distance,DecisionTreeClassifier,75.97222222222223
59,neutral_disgust,neutral_disgust,neutral_disgust,distance,DecisionTreeClassifier,87.77777777777777
60,neutral,neutral,neutral,distance,ExtraTreeClassifier,78.38888888888889
61,neutral,neutral,disgust,distance,ExtraTreeClassifier,64.83333333333333
62,neutral,neutral,neutral_disgust,distance,ExtraTreeClassifier,78.11111111111113
63,neutral,disgust,neutral,distance,ExtraTreeClassifier,37.44444444444444
64,neutral,disgust,disgust,distance,ExtraTreeClassifier,22.888888888888893
65,neutral,disgust,neutral_disgust,distance,ExtraTreeClassifier,34.94444444444444
66,disgust,neutral,neutral,distance,ExtraTreeClassifier,29.833333333333336
67,disgust,neutral,disgust,distance,ExtraTreeClassifier,16.27777777777778
68,disgust,neutral,neutral_disgust,distance,ExtraTreeClassifier,26.222222222222218
69,disgust,disgust,neutral,distance,ExtraTreeClassifier,78.72222222222223
70,disgust,disgust,disgust,distance,ExtraTreeClassifier,64.16666666666667
71,disgust,disgust,neutral_disgust,distance,ExtraTreeClassifier,75.27777777777779
72,neutral_disgust,neutral_disgust,neutral,distance,ExtraTreeClassifier,82.19444444444444
73,neutral_disgust,neutral_disgust,disgust,distance,ExtraTreeClassifier,66.16666666666667
74,neutral_disgust,neutral_disgust,neutral_disgust,distance,ExtraTreeClassifier,80.58333333333334
75,neutral,neutral,neutral,distance,LogisticRegression,94.66666666666666
76,neutral,neutral,disgust,distance,LogisticRegression,82.38888888888889
77,neutral,neutral,neutral_disgust,distance,LogisticRegression,94.77777777777777
78,neutral,disgust,neutral,distance,LogisticRegression,62.44444444444445
79,neutral,disgust,disgust,distance,LogisticRegression,44.0
80,neutral,disgust,neutral_disgust,distance,LogisticRegression,67.66666666666667
81,disgust,neutral,neutral,distance,LogisticRegression,52.49999999999999
82,disgust,neutral,disgust,distance,LogisticRegression,29.944444444444446
83,disgust,neutral,neutral_disgust,distance,LogisticRegression,54.50000000000001
84,disgust,disgust,neutral,distance,LogisticRegression,96.05555555555554
85,disgust,disgust,disgust,distance,LogisticRegression,88.83333333333333
86,disgust,disgust,neutral_disgust,distance,LogisticRegression,97.94444444444444
87,neutral_disgust,neutral_disgust,neutral,distance,LogisticRegression,91.69444444444444
88,neutral_disgust,neutral_disgust,disgust,distance,LogisticRegression,77.66666666666667
89,neutral_disgust,neutral_disgust,neutral_disgust,distance,LogisticRegression,97.66666666666667
90,neutral,neutral,neutral,distance,Perceptron,58.333333333333336
91,neutral,neutral,disgust,distance,Perceptron,41.88888888888889
92,neutral,neutral,neutral_disgust,distance,Perceptron,81.83333333333334
93,neutral,disgust,neutral,distance,Perceptron,33.72222222222222
94,neutral,disgust,disgust,distance,Perceptron,23.166666666666668
95,neutral,disgust,neutral_disgust,distance,Perceptron,47.666666666666664
96,disgust,neutral,neutral,distance,Perceptron,29.777777777777782
97,disgust,neutral,disgust,distance,Perceptron,15.055555555555555
98,disgust,neutral,neutral_disgust,distance,Perceptron,39.888888888888886
99,disgust,disgust,neutral,distance,Perceptron,59.5
100,disgust,disgust,disgust,distance,Perceptron,45.5
101,disgust,disgust,neutral_disgust,distance,Perceptron,86.50000000000001
102,neutral_disgust,neutral_disgust,neutral,distance,Perceptron,54.25
103,neutral_disgust,neutral_disgust,disgust,distance,Perceptron,39.111111111111114
104,neutral_disgust,neutral_disgust,neutral_disgust,distance,Perceptron,84.8888888888889
