,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_fear,neutral_fear,neutral,distance,LinearDiscriminantAnalysis,94.72727272727273
1,neutral_fear,neutral_fear,fear,distance,LinearDiscriminantAnalysis,97.0909090909091
2,neutral_fear,neutral_fear,neutral_fear,distance,LinearDiscriminantAnalysis,99.52727272727273
3,neutral_fear,neutral_fear,neutral,distance,SVC,88.87272727272727
4,neutral_fear,neutral_fear,fear,distance,SVC,87.81818181818181
5,neutral_fear,neutral_fear,neutral_fear,distance,SVC,96.21818181818182
6,neutral_fear,neutral_fear,neutral,distance,LogisticRegression,90.36363636363635
7,neutral_fear,neutral_fear,fear,distance,LogisticRegression,92.83636363636364
8,neutral_fear,neutral_fear,neutral_fear,distance,LogisticRegression,98.61818181818182
9,neutral_fear,neutral_fear,neutral,distance,BaggingClassifier,92.87272727272727
10,neutral_fear,neutral_fear,fear,distance,BaggingClassifier,89.34545454545454
11,neutral_fear,neutral_fear,neutral_fear,distance,BaggingClassifier,93.81818181818183
12,neutral_fear,neutral_fear,neutral,distance,RandomForestClassifier,97.12727272727273
13,neutral_fear,neutral_fear,fear,distance,RandomForestClassifier,94.21818181818182
14,neutral_fear,neutral_fear,neutral_fear,distance,RandomForestClassifier,98.2909090909091
15,neutral_fear,neutral_fear,neutral,distance,ExtraTreesClassifier,97.74545454545454
16,neutral_fear,neutral_fear,fear,distance,ExtraTreesClassifier,95.70909090909092
17,neutral_fear,neutral_fear,neutral_fear,distance,ExtraTreesClassifier,98.87272727272727
