,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_fear,neutral_fear,neutral,distance,LinearDiscriminantAnalysis,95.07272727272728
1,neutral_fear,neutral_fear,fear,distance,LinearDiscriminantAnalysis,97.35454545454546
2,neutral_fear,neutral_fear,neutral_fear,distance,LinearDiscriminantAnalysis,99.62727272727273
3,neutral_fear,neutral_fear,neutral,distance,SVC,89.43636363636364
4,neutral_fear,neutral_fear,fear,distance,SVC,88.35454545454544
5,neutral_fear,neutral_fear,neutral_fear,distance,SVC,96.80909090909091
6,neutral_fear,neutral_fear,neutral,distance,LogisticRegression,91.78181818181818
7,neutral_fear,neutral_fear,fear,distance,LogisticRegression,93.96363636363637
8,neutral_fear,neutral_fear,neutral_fear,distance,LogisticRegression,98.70909090909089
9,neutral_fear,neutral_fear,neutral,distance,BaggingClassifier,93.73636363636365
10,neutral_fear,neutral_fear,fear,distance,BaggingClassifier,90.9090909090909
11,neutral_fear,neutral_fear,neutral_fear,distance,BaggingClassifier,95.01818181818182
12,neutral_fear,neutral_fear,neutral,distance,RandomForestClassifier,97.34545454545453
13,neutral_fear,neutral_fear,fear,distance,RandomForestClassifier,95.07272727272729
14,neutral_fear,neutral_fear,neutral_fear,distance,RandomForestClassifier,98.58181818181818
15,neutral_fear,neutral_fear,neutral,distance,ExtraTreesClassifier,98.08181818181818
16,neutral_fear,neutral_fear,fear,distance,ExtraTreesClassifier,96.38181818181818
17,neutral_fear,neutral_fear,neutral_fear,distance,ExtraTreesClassifier,98.94545454545454
