,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,96.94545454545455
1,neutral,neutral,happiness,distance,LinearDiscriminantAnalysis,95.2
2,neutral,neutral,neutral_happiness,distance,LinearDiscriminantAnalysis,98.76363636363637
3,neutral,happiness,neutral,distance,LinearDiscriminantAnalysis,87.63636363636363
4,neutral,happiness,happiness,distance,LinearDiscriminantAnalysis,81.16363636363636
5,neutral,happiness,neutral_happiness,distance,LinearDiscriminantAnalysis,92.94545454545452
6,happiness,neutral,neutral,distance,LinearDiscriminantAnalysis,78.47272727272728
7,happiness,neutral,happiness,distance,LinearDiscriminantAnalysis,67.92727272727272
8,happiness,neutral,neutral_happiness,distance,LinearDiscriminantAnalysis,87.05454545454545
9,happiness,happiness,neutral,distance,LinearDiscriminantAnalysis,98.9090909090909
10,happiness,happiness,happiness,distance,LinearDiscriminantAnalysis,99.4909090909091
11,happiness,happiness,neutral_happiness,distance,LinearDiscriminantAnalysis,99.78181818181818
12,neutral_happiness,neutral_happiness,neutral,distance,LinearDiscriminantAnalysis,98.47272727272728
13,neutral_happiness,neutral_happiness,happiness,distance,LinearDiscriminantAnalysis,97.92727272727272
14,neutral_happiness,neutral_happiness,neutral_happiness,distance,LinearDiscriminantAnalysis,99.96363636363637
15,neutral,neutral,neutral,distance,LinearSVC,81.52727272727273
16,neutral,neutral,happiness,distance,LinearSVC,88.21818181818182
17,neutral,neutral,neutral_happiness,distance,LinearSVC,96.36363636363636
18,neutral,happiness,neutral,distance,LinearSVC,49.89090909090909
19,neutral,happiness,happiness,distance,LinearSVC,58.10909090909091
20,neutral,happiness,neutral_happiness,distance,LinearSVC,79.12727272727274
21,happiness,neutral,neutral,distance,LinearSVC,35.63636363636364
22,happiness,neutral,happiness,distance,LinearSVC,40.21818181818181
23,happiness,neutral,neutral_happiness,distance,LinearSVC,55.70909090909091
24,happiness,happiness,neutral,distance,LinearSVC,96.0
25,happiness,happiness,happiness,distance,LinearSVC,96.14545454545454
26,happiness,happiness,neutral_happiness,distance,LinearSVC,98.47272727272727
27,neutral_happiness,neutral_happiness,neutral,distance,LinearSVC,90.43636363636364
28,neutral_happiness,neutral_happiness,happiness,distance,LinearSVC,94.47272727272727
29,neutral_happiness,neutral_happiness,neutral_happiness,distance,LinearSVC,98.90909090909092
30,neutral,neutral,neutral,distance,SVC,71.2
31,neutral,neutral,happiness,distance,SVC,77.45454545454547
32,neutral,neutral,neutral_happiness,distance,SVC,83.19999999999999
33,neutral,happiness,neutral,distance,SVC,34.836363636363636
34,neutral,happiness,happiness,distance,SVC,45.01818181818182
35,neutral,happiness,neutral_happiness,distance,SVC,49.74545454545455
36,happiness,neutral,neutral,distance,SVC,27.27272727272727
37,happiness,neutral,happiness,distance,SVC,36.8
38,happiness,neutral,neutral_happiness,distance,SVC,37.52727272727273
39,happiness,happiness,neutral,distance,SVC,95.7818181818182
40,happiness,happiness,happiness,distance,SVC,95.56363636363636
41,happiness,happiness,neutral_happiness,distance,SVC,97.01818181818183
42,neutral_happiness,neutral_happiness,neutral,distance,SVC,79.12727272727274
43,neutral_happiness,neutral_happiness,happiness,distance,SVC,86.07272727272726
44,neutral_happiness,neutral_happiness,neutral_happiness,distance,SVC,91.74545454545454
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,67.34545454545454
46,neutral,neutral,happiness,distance,DecisionTreeClassifier,63.563636363636355
47,neutral,neutral,neutral_happiness,distance,DecisionTreeClassifier,67.78181818181818
48,neutral,happiness,neutral,distance,DecisionTreeClassifier,34.18181818181818
49,neutral,happiness,happiness,distance,DecisionTreeClassifier,25.67272727272727
50,neutral,happiness,neutral_happiness,distance,DecisionTreeClassifier,30.10909090909091
51,happiness,neutral,neutral,distance,DecisionTreeClassifier,16.872727272727275
52,happiness,neutral,happiness,distance,DecisionTreeClassifier,16.727272727272727
53,happiness,neutral,neutral_happiness,distance,DecisionTreeClassifier,19.272727272727273
54,happiness,happiness,neutral,distance,DecisionTreeClassifier,76.29090909090908
55,happiness,happiness,happiness,distance,DecisionTreeClassifier,76.43636363636364
56,happiness,happiness,neutral_happiness,distance,DecisionTreeClassifier,77.23636363636363
57,neutral_happiness,neutral_happiness,neutral,distance,DecisionTreeClassifier,90.32727272727274
58,neutral_happiness,neutral_happiness,happiness,distance,DecisionTreeClassifier,88.47272727272727
59,neutral_happiness,neutral_happiness,neutral_happiness,distance,DecisionTreeClassifier,89.59999999999998
60,neutral,neutral,neutral,distance,ExtraTreeClassifier,66.03636363636363
61,neutral,neutral,happiness,distance,ExtraTreeClassifier,67.85454545454546
