,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_happiness,neutral_happiness,neutral,distance,LinearDiscriminantAnalysis,98.36666666666666
1,neutral_happiness,neutral_happiness,happiness,distance,LinearDiscriminantAnalysis,97.37777777777775
2,neutral_happiness,neutral_happiness,neutral_happiness,distance,LinearDiscriminantAnalysis,99.94999999999999
3,neutral_happiness,neutral_happiness,neutral,distance,SVC,76.35555555555555
4,neutral_happiness,neutral_happiness,happiness,distance,SVC,84.19444444444443
5,neutral_happiness,neutral_happiness,neutral_happiness,distance,SVC,93.23333333333332
6,neutral_happiness,neutral_happiness,neutral,distance,LogisticRegression,88.71666666666665
7,neutral_happiness,neutral_happiness,happiness,distance,LogisticRegression,93.01111111111109
8,neutral_happiness,neutral_happiness,neutral_happiness,distance,LogisticRegression,98.65
9,neutral_happiness,neutral_happiness,neutral,distance,BaggingClassifier,95.18888888888888
10,neutral_happiness,neutral_happiness,happiness,distance,BaggingClassifier,94.58888888888889
11,neutral_happiness,neutral_happiness,neutral_happiness,distance,BaggingClassifier,96.98333333333332
12,neutral_happiness,neutral_happiness,neutral,distance,RandomForestClassifier,97.96111111111112
13,neutral_happiness,neutral_happiness,happiness,distance,RandomForestClassifier,97.73333333333335
14,neutral_happiness,neutral_happiness,neutral_happiness,distance,RandomForestClassifier,99.33888888888887
15,neutral_happiness,neutral_happiness,neutral,distance,ExtraTreesClassifier,98.3611111111111
16,neutral_happiness,neutral_happiness,happiness,distance,ExtraTreesClassifier,98.23333333333333
17,neutral_happiness,neutral_happiness,neutral_happiness,distance,ExtraTreesClassifier,99.5611111111111
