,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_happiness,neutral_happiness,neutral,distance,LinearDiscriminantAnalysis,98.37777777777777
1,neutral_happiness,neutral_happiness,happiness,distance,LinearDiscriminantAnalysis,97.04444444444444
2,neutral_happiness,neutral_happiness,neutral_happiness,distance,LinearDiscriminantAnalysis,99.97777777777777
3,neutral_happiness,neutral_happiness,neutral,distance,SVC,76.0
4,neutral_happiness,neutral_happiness,happiness,distance,SVC,83.55555555555554
5,neutral_happiness,neutral_happiness,neutral_happiness,distance,SVC,92.26666666666667
6,neutral_happiness,neutral_happiness,neutral,distance,LogisticRegression,87.13333333333333
7,neutral_happiness,neutral_happiness,happiness,distance,LogisticRegression,92.11111111111111
8,neutral_happiness,neutral_happiness,neutral_happiness,distance,LogisticRegression,98.22222222222223
9,neutral_happiness,neutral_happiness,neutral,distance,BaggingClassifier,94.75555555555555
10,neutral_happiness,neutral_happiness,happiness,distance,BaggingClassifier,93.84444444444443
11,neutral_happiness,neutral_happiness,neutral_happiness,distance,BaggingClassifier,96.77777777777779
12,neutral_happiness,neutral_happiness,neutral,distance,RandomForestClassifier,97.42222222222222
13,neutral_happiness,neutral_happiness,happiness,distance,RandomForestClassifier,97.06666666666666
14,neutral_happiness,neutral_happiness,neutral_happiness,distance,RandomForestClassifier,99.08888888888889
15,neutral_happiness,neutral_happiness,neutral,distance,ExtraTreesClassifier,97.73333333333333
16,neutral_happiness,neutral_happiness,happiness,distance,ExtraTreesClassifier,97.64444444444445
17,neutral_happiness,neutral_happiness,neutral_happiness,distance,ExtraTreesClassifier,99.3777777777778
