,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,97.51724137931035
1,neutral,neutral,anger,distance,LinearDiscriminantAnalysis,97.10344827586206
2,neutral,neutral,neutral_anger,distance,LinearDiscriminantAnalysis,99.0344827586207
3,neutral,anger,neutral,distance,LinearDiscriminantAnalysis,86.06896551724138
4,neutral,anger,anger,distance,LinearDiscriminantAnalysis,82.20689655172413
5,neutral,anger,neutral_anger,distance,LinearDiscriminantAnalysis,88.89655172413792
6,anger,neutral,neutral,distance,LinearDiscriminantAnalysis,79.10344827586206
7,anger,neutral,anger,distance,LinearDiscriminantAnalysis,74.20689655172414
8,anger,neutral,neutral_anger,distance,LinearDiscriminantAnalysis,86.41379310344828
9,anger,anger,neutral,distance,LinearDiscriminantAnalysis,99.6551724137931
10,anger,anger,anger,distance,LinearDiscriminantAnalysis,99.0344827586207
11,anger,anger,neutral_anger,distance,LinearDiscriminantAnalysis,99.86206896551724
12,neutral_anger,neutral_anger,neutral,distance,LinearDiscriminantAnalysis,97.0
13,neutral_anger,neutral_anger,anger,distance,LinearDiscriminantAnalysis,97.48275862068967
14,neutral_anger,neutral_anger,neutral_anger,distance,LinearDiscriminantAnalysis,99.31034482758622
15,neutral,neutral,neutral,distance,LinearSVC,92.06896551724138
16,neutral,neutral,anger,distance,LinearSVC,90.82758620689656
17,neutral,neutral,neutral_anger,distance,LinearSVC,96.13793103448275
18,neutral,anger,neutral,distance,LinearSVC,68.06896551724137
19,neutral,anger,anger,distance,LinearSVC,60.0
20,neutral,anger,neutral_anger,distance,LinearSVC,75.79310344827586
21,anger,neutral,neutral,distance,LinearSVC,64.06896551724138
22,anger,neutral,anger,distance,LinearSVC,61.51724137931035
23,anger,neutral,neutral_anger,distance,LinearSVC,72.96551724137932
24,anger,anger,neutral,distance,LinearSVC,95.86206896551724
25,anger,anger,anger,distance,LinearSVC,97.58620689655172
26,anger,anger,neutral_anger,distance,LinearSVC,98.9655172413793
27,neutral_anger,neutral_anger,neutral,distance,LinearSVC,90.75862068965517
28,neutral_anger,neutral_anger,anger,distance,LinearSVC,92.86206896551724
29,neutral_anger,neutral_anger,neutral_anger,distance,LinearSVC,98.3448275862069
30,neutral,neutral,neutral,distance,SVC,95.58620689655173
31,neutral,neutral,anger,distance,SVC,81.51724137931033
32,neutral,neutral,neutral_anger,distance,SVC,90.89655172413794
33,neutral,anger,neutral,distance,SVC,74.27586206896551
34,neutral,anger,anger,distance,SVC,46.89655172413793
35,neutral,anger,neutral_anger,distance,SVC,64.89655172413794
36,anger,neutral,neutral,distance,SVC,69.03448275862068
37,anger,neutral,anger,distance,SVC,42.89655172413793
38,anger,neutral,neutral_anger,distance,SVC,59.448275862068954
39,anger,anger,neutral,distance,SVC,99.24137931034484
40,anger,anger,anger,distance,SVC,91.72413793103449
41,anger,anger,neutral_anger,distance,SVC,97.37931034482759
42,neutral_anger,neutral_anger,neutral,distance,SVC,94.44827586206897
43,neutral_anger,neutral_anger,anger,distance,SVC,84.89655172413794
44,neutral_anger,neutral_anger,neutral_anger,distance,SVC,93.86206896551725
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,71.72413793103449
46,neutral,neutral,anger,distance,DecisionTreeClassifier,64.75862068965517
47,neutral,neutral,neutral_anger,distance,DecisionTreeClassifier,69.44827586206895
48,neutral,anger,neutral,distance,DecisionTreeClassifier,32.3448275862069
49,neutral,anger,anger,distance,DecisionTreeClassifier,22.275862068965516
50,neutral,anger,neutral_anger,distance,DecisionTreeClassifier,28.689655172413797
