,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,95.78181818181818
1,neutral,neutral,fear,distance,LinearDiscriminantAnalysis,92.14545454545456
2,neutral,neutral,neutral_fear,distance,LinearDiscriminantAnalysis,99.05454545454546
3,neutral,fear,neutral,distance,LinearDiscriminantAnalysis,81.0909090909091
4,neutral,fear,fear,distance,LinearDiscriminantAnalysis,69.60000000000001
5,neutral,fear,neutral_fear,distance,LinearDiscriminantAnalysis,91.85454545454544
6,fear,neutral,neutral,distance,LinearDiscriminantAnalysis,68.94545454545455
7,fear,neutral,fear,distance,LinearDiscriminantAnalysis,53.381818181818176
8,fear,neutral,neutral_fear,distance,LinearDiscriminantAnalysis,80.72727272727273
9,fear,fear,neutral,distance,LinearDiscriminantAnalysis,98.47272727272727
10,fear,fear,fear,distance,LinearDiscriminantAnalysis,98.10909090909091
11,fear,fear,neutral_fear,distance,LinearDiscriminantAnalysis,99.4909090909091
12,neutral_fear,neutral_fear,neutral,distance,LinearDiscriminantAnalysis,94.72727272727273
13,neutral_fear,neutral_fear,fear,distance,LinearDiscriminantAnalysis,91.16363636363637
14,neutral_fear,neutral_fear,neutral_fear,distance,LinearDiscriminantAnalysis,99.4909090909091
15,neutral,neutral,neutral,distance,LinearSVC,86.83636363636363
16,neutral,neutral,fear,distance,LinearSVC,80.2909090909091
17,neutral,neutral,neutral_fear,distance,LinearSVC,95.12727272727273
18,neutral,fear,neutral,distance,LinearSVC,61.8909090909091
19,neutral,fear,fear,distance,LinearSVC,46.03636363636363
20,neutral,fear,neutral_fear,distance,LinearSVC,77.81818181818183
21,fear,neutral,neutral,distance,LinearSVC,51.92727272727271
22,fear,neutral,fear,distance,LinearSVC,36.65454545454545
23,fear,neutral,neutral_fear,distance,LinearSVC,59.78181818181818
24,fear,fear,neutral,distance,LinearSVC,94.32727272727273
25,fear,fear,fear,distance,LinearSVC,90.76363636363635
26,fear,fear,neutral_fear,distance,LinearSVC,98.47272727272727
27,neutral_fear,neutral_fear,neutral,distance,LinearSVC,89.27272727272728
28,neutral_fear,neutral_fear,fear,distance,LinearSVC,83.0909090909091
29,neutral_fear,neutral_fear,neutral_fear,distance,LinearSVC,97.52727272727273
30,neutral,neutral,neutral,distance,SVC,86.76363636363637
31,neutral,neutral,fear,distance,SVC,72.21818181818182
32,neutral,neutral,neutral_fear,distance,SVC,87.85454545454544
33,neutral,fear,neutral,distance,SVC,66.32727272727273
