,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_sadness,neutral_sadness,neutral,distance,LinearDiscriminantAnalysis,98.38805970149254
1,neutral_sadness,neutral_sadness,sadness,distance,LinearDiscriminantAnalysis,98.95522388059702
2,neutral_sadness,neutral_sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,99.97014925373134
3,neutral_sadness,neutral_sadness,neutral,distance,SVC,94.4776119402985
4,neutral_sadness,neutral_sadness,sadness,distance,SVC,92.2089552238806
5,neutral_sadness,neutral_sadness,neutral_sadness,distance,SVC,98.17910447761194
6,neutral_sadness,neutral_sadness,neutral,distance,LogisticRegression,96.1492537313433
7,neutral_sadness,neutral_sadness,sadness,distance,LogisticRegression,95.61194029850746
8,neutral_sadness,neutral_sadness,neutral_sadness,distance,LogisticRegression,98.98507462686568
9,neutral_sadness,neutral_sadness,neutral,distance,BaggingClassifier,95.40298507462687
10,neutral_sadness,neutral_sadness,sadness,distance,BaggingClassifier,92.77611940298506
11,neutral_sadness,neutral_sadness,neutral_sadness,distance,BaggingClassifier,95.19402985074626
12,neutral_sadness,neutral_sadness,neutral,distance,RandomForestClassifier,98.23880597014927
13,neutral_sadness,neutral_sadness,sadness,distance,RandomForestClassifier,96.50746268656715
14,neutral_sadness,neutral_sadness,neutral_sadness,distance,RandomForestClassifier,98.86567164179104
15,neutral_sadness,neutral_sadness,neutral,distance,ExtraTreesClassifier,99.07462686567165
16,neutral_sadness,neutral_sadness,sadness,distance,ExtraTreesClassifier,97.61194029850748
17,neutral_sadness,neutral_sadness,neutral_sadness,distance,ExtraTreesClassifier,99.55223880597015
