,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral,neutral,neutral,distance,LinearDiscriminantAnalysis,98.80597014925372
1,neutral,neutral,sadness,distance,LinearDiscriminantAnalysis,98.14925373134328
2,neutral,neutral,neutral_sadness,distance,LinearDiscriminantAnalysis,99.5820895522388
3,neutral,sadness,neutral,distance,LinearDiscriminantAnalysis,89.7910447761194
4,neutral,sadness,sadness,distance,LinearDiscriminantAnalysis,89.97014925373135
5,neutral,sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,97.31343283582089
6,sadness,neutral,neutral,distance,LinearDiscriminantAnalysis,80.83582089552239
7,sadness,neutral,sadness,distance,LinearDiscriminantAnalysis,79.94029850746269
8,sadness,neutral,neutral_sadness,distance,LinearDiscriminantAnalysis,93.01492537313433
9,sadness,sadness,neutral,distance,LinearDiscriminantAnalysis,99.40298507462686
10,sadness,sadness,sadness,distance,LinearDiscriminantAnalysis,99.52238805970148
11,sadness,sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,100.0
12,neutral_sadness,neutral_sadness,neutral,distance,LinearDiscriminantAnalysis,98.38805970149254
13,neutral_sadness,neutral_sadness,sadness,distance,LinearDiscriminantAnalysis,98.74626865671642
14,neutral_sadness,neutral_sadness,neutral_sadness,distance,LinearDiscriminantAnalysis,99.97014925373134
15,neutral,neutral,neutral,distance,LinearSVC,90.86567164179105
16,neutral,neutral,sadness,distance,LinearSVC,96.71641791044776
17,neutral,neutral,neutral_sadness,distance,LinearSVC,99.04477611940298
18,neutral,sadness,neutral,distance,LinearSVC,72.35820895522387
19,neutral,sadness,sadness,distance,LinearSVC,79.22388059701493
20,neutral,sadness,neutral_sadness,distance,LinearSVC,92.0
21,sadness,neutral,neutral,distance,LinearSVC,74.14925373134328
22,sadness,neutral,sadness,distance,LinearSVC,77.43283582089552
23,sadness,neutral,neutral_sadness,distance,LinearSVC,86.68656716417911
24,sadness,sadness,neutral,distance,LinearSVC,95.94029850746269
25,sadness,sadness,sadness,distance,LinearSVC,99.76119402985074
26,sadness,sadness,neutral_sadness,distance,LinearSVC,100.0
27,neutral_sadness,neutral_sadness,neutral,distance,LinearSVC,92.4179104477612
28,neutral_sadness,neutral_sadness,sadness,distance,LinearSVC,97.91044776119402
29,neutral_sadness,neutral_sadness,neutral_sadness,distance,LinearSVC,99.64179104477611
30,neutral,neutral,neutral,distance,SVC,94.86567164179105
31,neutral,neutral,sadness,distance,SVC,93.85074626865672
32,neutral,neutral,neutral_sadness,distance,SVC,96.83582089552237
33,neutral,sadness,neutral,distance,SVC,82.92537313432835
34,neutral,sadness,sadness,distance,SVC,79.64179104477613
35,neutral,sadness,neutral_sadness,distance,SVC,89.61194029850746
36,sadness,neutral,neutral,distance,SVC,73.43283582089552
37,sadness,neutral,sadness,distance,SVC,70.14925373134328
38,sadness,neutral,neutral_sadness,distance,SVC,80.05970149253731
39,sadness,sadness,neutral,distance,SVC,98.62686567164178
40,sadness,sadness,sadness,distance,SVC,98.6268656716418
41,sadness,sadness,neutral_sadness,distance,SVC,99.5820895522388
42,neutral_sadness,neutral_sadness,neutral,distance,SVC,94.4776119402985
43,neutral_sadness,neutral_sadness,sadness,distance,SVC,93.49253731343283
44,neutral_sadness,neutral_sadness,neutral_sadness,distance,SVC,98.71641791044776
45,neutral,neutral,neutral,distance,DecisionTreeClassifier,72.77611940298507
46,neutral,neutral,sadness,distance,DecisionTreeClassifier,69.85074626865672
47,neutral,neutral,neutral_sadness,distance,DecisionTreeClassifier,72.83582089552239
48,neutral,sadness,neutral,distance,DecisionTreeClassifier,43.64179104477612
49,neutral,sadness,sadness,distance,DecisionTreeClassifier,37.31343283582089
50,neutral,sadness,neutral_sadness,distance,DecisionTreeClassifier,39.940298507462686
51,sadness,neutral,neutral,distance,DecisionTreeClassifier,36.65671641791045
52,sadness,neutral,sadness,distance,DecisionTreeClassifier,31.402985074626866
53,sadness,neutral,neutral_sadness,distance,DecisionTreeClassifier,36.656716417910445
54,sadness,sadness,neutral,distance,DecisionTreeClassifier,76.53731343283582
55,sadness,sadness,sadness,distance,DecisionTreeClassifier,76.23880597014926
56,sadness,sadness,neutral_sadness,distance,DecisionTreeClassifier,77.73134328358209
57,neutral_sadness,neutral_sadness,neutral,distance,DecisionTreeClassifier,89.01492537313433
58,neutral_sadness,neutral_sadness,sadness,distance,DecisionTreeClassifier,84.23880597014926
59,neutral_sadness,neutral_sadness,neutral_sadness,distance,DecisionTreeClassifier,89.01492537313433
60,neutral,neutral,neutral,distance,ExtraTreeClassifier,78.1492537313433
61,neutral,neutral,sadness,distance,ExtraTreeClassifier,71.94029850746269
62,neutral,neutral,neutral_sadness,distance,ExtraTreeClassifier,79.52238805970148
63,neutral,sadness,neutral,distance,ExtraTreeClassifier,48.656716417910445
64,neutral,sadness,sadness,distance,ExtraTreeClassifier,43.223880597014926
65,neutral,sadness,neutral_sadness,distance,ExtraTreeClassifier,48.59701492537313
66,sadness,neutral,neutral,distance,ExtraTreeClassifier,42.507462686567166
67,sadness,neutral,sadness,distance,ExtraTreeClassifier,36.776119402985074
68,sadness,neutral,neutral_sadness,distance,ExtraTreeClassifier,41.55223880597014
69,sadness,sadness,neutral,distance,ExtraTreeClassifier,80.83582089552239
70,sadness,sadness,sadness,distance,ExtraTreeClassifier,78.20895522388061
71,sadness,sadness,neutral_sadness,distance,ExtraTreeClassifier,82.44776119402985
72,neutral_sadness,neutral_sadness,neutral,distance,ExtraTreeClassifier,84.89552238805972
73,neutral_sadness,neutral_sadness,sadness,distance,ExtraTreeClassifier,80.77611940298509
74,neutral_sadness,neutral_sadness,neutral_sadness,distance,ExtraTreeClassifier,86.23880597014927
75,neutral,neutral,neutral,distance,LogisticRegression,95.88059701492537
76,neutral,neutral,sadness,distance,LogisticRegression,96.59701492537313
77,neutral,neutral,neutral_sadness,distance,LogisticRegression,98.56716417910448
78,neutral,sadness,neutral,distance,LogisticRegression,79.94029850746269
79,neutral,sadness,sadness,distance,LogisticRegression,83.64179104477611
80,neutral,sadness,neutral_sadness,distance,LogisticRegression,91.64179104477613
81,sadness,neutral,neutral,distance,LogisticRegression,79.34328358208955
82,sadness,neutral,sadness,distance,LogisticRegression,76.41791044776119
83,sadness,neutral,neutral_sadness,distance,LogisticRegression,85.43283582089553
84,sadness,sadness,neutral,distance,LogisticRegression,98.68656716417911
85,sadness,sadness,sadness,distance,LogisticRegression,99.34328358208955
86,sadness,sadness,neutral_sadness,distance,LogisticRegression,99.88059701492537
87,neutral_sadness,neutral_sadness,neutral,distance,LogisticRegression,96.1492537313433
88,neutral_sadness,neutral_sadness,sadness,distance,LogisticRegression,96.74626865671641
89,neutral_sadness,neutral_sadness,neutral_sadness,distance,LogisticRegression,99.22388059701493
90,neutral,neutral,neutral,distance,Perceptron,59.16417910447762
91,neutral,neutral,sadness,distance,Perceptron,79.88059701492539
92,neutral,neutral,neutral_sadness,distance,Perceptron,90.44776119402985
93,neutral,sadness,neutral,distance,Perceptron,48.29850746268656
94,neutral,sadness,sadness,distance,Perceptron,62.32835820895522
95,neutral,sadness,neutral_sadness,distance,Perceptron,73.91044776119404
96,sadness,neutral,neutral,distance,Perceptron,46.98507462686567
97,sadness,neutral,sadness,distance,Perceptron,58.26865671641791
98,sadness,neutral,neutral_sadness,distance,Perceptron,72.23880597014926
99,sadness,sadness,neutral,distance,Perceptron,71.34328358208957
100,sadness,sadness,sadness,distance,Perceptron,86.74626865671641
101,sadness,sadness,neutral_sadness,distance,Perceptron,96.11940298507463
102,neutral_sadness,neutral_sadness,neutral,distance,Perceptron,66.26865671641791
103,neutral_sadness,neutral_sadness,sadness,distance,Perceptron,82.74626865671642
104,neutral_sadness,neutral_sadness,neutral_sadness,distance,Perceptron,95.82089552238806
105,neutral,neutral,neutral,distance,KNeighborsClassifier,53.73134328358209
106,neutral,neutral,sadness,distance,KNeighborsClassifier,57.07462686567164
107,neutral,neutral,neutral_sadness,distance,KNeighborsClassifier,57.67164179104478
108,neutral,sadness,neutral,distance,KNeighborsClassifier,49.492537313432834
109,neutral,sadness,sadness,distance,KNeighborsClassifier,49.13432835820896
110,neutral,sadness,neutral_sadness,distance,KNeighborsClassifier,52.17910447761195
111,sadness,neutral,neutral,distance,KNeighborsClassifier,41.07462686567164
112,sadness,neutral,sadness,distance,KNeighborsClassifier,37.3134328358209
113,sadness,neutral,neutral_sadness,distance,KNeighborsClassifier,37.7910447761194
114,sadness,sadness,neutral,distance,KNeighborsClassifier,52.477611940298495
115,sadness,sadness,sadness,distance,KNeighborsClassifier,49.7910447761194
116,sadness,sadness,neutral_sadness,distance,KNeighborsClassifier,47.1044776119403
117,neutral_sadness,neutral_sadness,neutral,distance,KNeighborsClassifier,87.19402985074626
118,neutral_sadness,neutral_sadness,sadness,distance,KNeighborsClassifier,84.77611940298506
119,neutral_sadness,neutral_sadness,neutral_sadness,distance,KNeighborsClassifier,91.5223880597015
120,neutral,neutral,neutral,distance,GaussianProcessClassifier,96.0
121,neutral,neutral,sadness,distance,GaussianProcessClassifier,95.52238805970148
122,neutral,neutral,neutral_sadness,distance,GaussianProcessClassifier,97.91044776119402
123,neutral,sadness,neutral,distance,GaussianProcessClassifier,83.76119402985076
124,neutral,sadness,sadness,distance,GaussianProcessClassifier,81.25373134328359
125,neutral,sadness,neutral_sadness,distance,GaussianProcessClassifier,91.1044776119403
126,sadness,neutral,neutral,distance,GaussianProcessClassifier,74.6268656716418
127,sadness,neutral,sadness,distance,GaussianProcessClassifier,71.64179104477611
128,sadness,neutral,neutral_sadness,distance,GaussianProcessClassifier,81.13432835820896
129,sadness,sadness,neutral,distance,GaussianProcessClassifier,99.28358208955223
130,sadness,sadness,sadness,distance,GaussianProcessClassifier,98.80597014925374
131,sadness,sadness,neutral_sadness,distance,GaussianProcessClassifier,99.76119402985074
