,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_surprise,neutral_surprise,neutral,distance,LinearDiscriminantAnalysis,93.19565217391305
1,neutral_surprise,neutral_surprise,surprise,distance,LinearDiscriminantAnalysis,95.02717391304348
2,neutral_surprise,neutral_surprise,neutral_surprise,distance,LinearDiscriminantAnalysis,99.54891304347824
3,neutral_surprise,neutral_surprise,neutral,distance,SVC,72.04891304347827
4,neutral_surprise,neutral_surprise,surprise,distance,SVC,63.53260869565217
5,neutral_surprise,neutral_surprise,neutral_surprise,distance,SVC,83.57608695652173
6,neutral_surprise,neutral_surprise,neutral,distance,LogisticRegression,82.1032608695652
7,neutral_surprise,neutral_surprise,surprise,distance,LogisticRegression,84.57608695652173
8,neutral_surprise,neutral_surprise,neutral_surprise,distance,LogisticRegression,96.09782608695653
9,neutral_surprise,neutral_surprise,neutral,distance,BaggingClassifier,88.86956521739134
10,neutral_surprise,neutral_surprise,surprise,distance,BaggingClassifier,79.65760869565217
11,neutral_surprise,neutral_surprise,neutral_surprise,distance,BaggingClassifier,90.85326086956523
12,neutral_surprise,neutral_surprise,neutral,distance,RandomForestClassifier,93.92391304347827
13,neutral_surprise,neutral_surprise,surprise,distance,RandomForestClassifier,87.8586956521739
14,neutral_surprise,neutral_surprise,neutral_surprise,distance,RandomForestClassifier,95.83152173913045
15,neutral_surprise,neutral_surprise,neutral,distance,ExtraTreesClassifier,94.66847826086958
16,neutral_surprise,neutral_surprise,surprise,distance,ExtraTreesClassifier,88.64673913043478
17,neutral_surprise,neutral_surprise,neutral_surprise,distance,ExtraTreesClassifier,96.85869565217394
