,training_set,test_set,feature_set,feature_type,model_type,accuracy
0,neutral_surprise,neutral_surprise,neutral,distance,LinearDiscriminantAnalysis,93.02173913043478
1,neutral_surprise,neutral_surprise,surprise,distance,LinearDiscriminantAnalysis,94.78260869565217
2,neutral_surprise,neutral_surprise,neutral_surprise,distance,LinearDiscriminantAnalysis,99.58695652173913
3,neutral_surprise,neutral_surprise,neutral,distance,SVC,71.69565217391303
4,neutral_surprise,neutral_surprise,surprise,distance,SVC,62.56521739130435
5,neutral_surprise,neutral_surprise,neutral_surprise,distance,SVC,83.04347826086956
6,neutral_surprise,neutral_surprise,neutral,distance,LogisticRegression,81.89130434782608
7,neutral_surprise,neutral_surprise,surprise,distance,LogisticRegression,83.78260869565217
8,neutral_surprise,neutral_surprise,neutral_surprise,distance,LogisticRegression,96.21739130434783
9,neutral_surprise,neutral_surprise,neutral,distance,BaggingClassifier,89.04347826086956
10,neutral_surprise,neutral_surprise,surprise,distance,BaggingClassifier,79.00000000000001
11,neutral_surprise,neutral_surprise,neutral_surprise,distance,BaggingClassifier,90.65217391304347
12,neutral_surprise,neutral_surprise,neutral,distance,RandomForestClassifier,93.21739130434783
13,neutral_surprise,neutral_surprise,surprise,distance,RandomForestClassifier,87.69565217391305
14,neutral_surprise,neutral_surprise,neutral_surprise,distance,RandomForestClassifier,95.76086956521739
15,neutral_surprise,neutral_surprise,neutral,distance,ExtraTreesClassifier,94.30434782608695
16,neutral_surprise,neutral_surprise,surprise,distance,ExtraTreesClassifier,88.41304347826087
17,neutral_surprise,neutral_surprise,neutral_surprise,distance,ExtraTreesClassifier,96.26086956521739
