subject_id,session_id,image_id,peak_emotion,ckplus_labelled,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67,landmark_68
S010,4,1,anger,1,262.17231 225.7624,262.70855 258.27179,264.85444 290.6607,270.15035 322.50423,279.17107 353.42487,296.19858 380.80118,320.53947 401.96532,349.46857 416.72397,380.96274 422.42818,412.12052 416.04949,440.13931 400.50861,464.40773 379.98625,481.87081 353.48946,487.93992 321.95888,491.43508 290.31822,496.94757 258.70654,497.02365 227.16062,271.72491 203.43587,287.29513 192.15415,306.84461 191.58549,325.8538 195.59434,342.74119 205.28602,403.72181 198.90995,422.39005 187.76463,443.38469 182.1071,464.92964 183.95195,483.37792 194.82724,372.77638 208.48861,373.92133 237.65168,374.44046 266.48906,375.49665 295.41539,353.64207 311.32758,365.49277 315.92521,377.2986 319.9656,389.267 315.19873,400.97699 310.42785,289.0034 227.11246,303.28249 217.21592,320.49495 217.89704,334.53839 228.04507,319.51598 233.76106,303.57076 233.51202,410.99657 225.32133,424.64599 213.34817,442.74249 212.25567,456.07196 223.96177,441.34805 229.46719,425.84075 229.87858,328.56143 354.10735,345.5106 347.53111,361.77503 339.5242,379.1201 341.80846,396.0416 339.31328,412.45117 344.74671,429.22725 348.63882,413.64544 358.85036,399.11945 370.40496,381.39666 374.11844,362.60505 371.06109,346.91937 359.33467,348.59905 354.09625,364.22135 353.18286,379.58238 354.55692,395.53149 352.27785,411.48467 352.28454,395.37403 353.2126,379.58212 355.9206,364.08498 354.05096
S010,4,2,anger,1,262.17231 225.7624,262.70855 258.27179,264.85444 290.6607,270.15035 322.50423,279.17107 353.42487,296.19858 380.80118,320.53947 401.96532,349.46857 416.72397,380.96274 422.42818,412.12052 416.04949,440.13931 400.50861,464.40773 379.98625,481.87081 353.48946,487.93992 321.95888,491.43508 290.31822,496.94757 258.70654,497.02365 227.16062,271.72491 203.43587,287.29513 192.15415,306.84461 191.58549,325.8538 195.59434,342.74119 205.28602,403.72181 198.90995,422.39005 187.76463,443.38469 182.1071,464.92964 183.95195,483.37792 194.82724,372.77638 208.48861,373.92133 237.65168,374.44046 266.48906,375.49665 295.41539,353.64207 311.32758,365.49277 315.92521,377.2986 319.9656,389.267 315.19873,400.97699 310.42785,289.0034 227.11246,303.28249 217.21592,320.49495 217.89704,334.53839 228.04507,319.51598 233.76106,303.57076 233.51202,410.99657 225.32133,424.64599 213.34817,442.74249 212.25567,456.07196 223.96177,441.34805 229.46719,425.84075 229.87858,328.56143 354.10735,345.5106 347.53111,361.77503 339.5242,379.1201 341.80846,396.0416 339.31328,412.45117 344.74671,429.22725 348.63882,413.64544 358.85036,399.11945 370.40496,381.39666 374.11844,362.60505 371.06109,346.91937 359.33467,348.59905 354.09625,364.22135 353.18286,379.58238 354.55692,395.53149 352.27785,411.48467 352.28454,395.37403 353.2126,379.58212 355.9206,364.08498 354.05096
S010,4,3,anger,1,262.13204 225.83075,262.67596 258.34922,264.82813 290.74549,270.18045 322.59833,279.19507 353.54282,296.20245 380.94102,320.56079 402.12215,349.47658 416.89402,380.99069 422.55003,412.19941 416.25023,440.22621 400.68851,464.51061 380.1287,481.98046 353.61187,488.05681 322.06472,491.54986 290.38902,497.05342 258.75539,497.12508 227.17438,271.80067 203.81419,287.30752 192.50437,306.80795 191.83802,325.78663 195.78088,342.66521 205.40594,403.79705 199.1679,422.44454 188.03547,443.41423 182.4396,464.92519 184.28984,483.42007 195.03579,372.80376 208.53171,373.95672 237.70898,374.48235 266.56165,375.54938 295.5009,353.71717 311.55689,365.61316 316.10237,377.43318 320.18343,389.38333 315.38633,401.08276 310.59017,289.26243 227.40833,303.42211 217.56673,320.51961 218.21834,334.55141 228.13699,319.61178 233.71614,303.78293 233.48711,411.12555 225.43686,424.74944 213.60709,442.7343 212.48851,456.02012 224.07726,441.33812 229.37842,425.91859 229.77004,329.19625 354.20195,345.98891 347.76418,362.10126 339.87637,379.27441 342.10914,395.99607 339.66037,412.20823 345.0209,428.78016 348.88135,413.36878 358.964,399.03052 370.41328,381.50358 374.05031,362.88688 371.05918,347.35955 359.42371,349.26727 354.20853,364.60787 353.28096,379.68179 354.70498,395.30778 352.41073,410.9511 352.41684,395.15529 353.35297,379.6819 356.05333,364.47217 354.16195
S010,4,4,anger,1,262.12749 225.98181,262.68614 258.43199,264.83779 290.76892,270.30364 322.55968,279.25068 353.49203,296.11385 380.90203,320.43241 402.10448,349.25362 416.83272,380.74101 422.30596,412.06554 416.28625,440.14856 400.79683,464.52366 380.26138,482.04548 353.77466,488.12509 322.22173,491.59597 290.48186,497.1032 258.84608,497.16367 227.2094,272.10516 204.84585,287.41752 193.47862,306.75463 192.54945,325.62098 196.30924,342.44875 205.74067,403.90681 199.89755,422.47204 188.81969,443.34418 183.40411,464.73047 185.26996,483.32305 195.64895,372.79202 208.58447,373.9581 237.77754,374.50034 266.64215,375.5698 295.60138,353.864 312.06808,365.90476 316.51554,377.76528 320.79442,389.60854 315.83446,401.23664 310.93104,290.0383 228.18121,303.85266 218.50742,320.61039 219.0809,334.58647 228.35995,319.89322 233.55372,304.40598 233.37639,411.36636 225.73926,424.90345 214.32129,442.55662 213.13667,455.70091 224.38992,441.15263 229.12206,425.99547 229.45595,330.86839 354.39256,347.24247 348.38116,362.91698 340.76097,379.60548 342.8982,395.7849 340.57588,411.44968 345.78696,427.46427 349.60805,412.51833 359.48033,398.7238 370.79351,381.66924 374.15118,363.50837 371.38528,348.48352 359.79431,350.86535 354.57088,365.47487 353.59642,379.80993 355.14249,394.58088 352.84419,409.39733 352.85803,394.44103 353.82697,379.81047 356.47758,365.34244 354.52422
S010,4,5,anger,1,262.25209 226.09433,262.81198 258.44803,264.94711 290.69784,270.53346 322.40182,279.38377 353.30783,296.05947 380.72264,320.31102 401.94723,348.99411 416.63761,380.43051 421.91242,411.87046 416.23819,439.99633 400.84291,464.45948 380.34768,482.03493 353.91702,488.1318 322.38367,491.59217 290.59383,497.11036 258.97869,497.17372 227.29891,272.60099 206.02865,287.67628 194.60835,306.80568 193.37582,325.52307 196.92386,342.2739 206.12602,404.0803 200.78866,422.5398 189.7928,443.28342 184.60627,464.50503 186.4999,483.19622 196.4432,372.84419 208.65847,374.0111 237.8472,374.55785 266.70397,375.61863 295.66275,354.06469 312.58967,366.26102 316.91495,378.15606 321.41763,389.87267 316.28745,401.41427 311.27302,291.07235 229.04824,304.46979 219.58791,320.81029 220.0758,334.70605 228.59238,320.31473 233.31584,305.24585 233.19293,411.6785 226.10644,425.10782 215.19424,442.35362 213.94014,455.31459 224.79172,440.93418 228.83482,426.10048 229.09237,332.88935 354.47243,348.75004 348.97579,363.89493 341.69963,379.99083 343.72188,395.50859 341.56089,410.50418 346.58845,425.83666 350.35929,411.45513 359.94021,398.31141 371.04827,381.84528 374.07247,364.25041 371.56129,349.83368 360.06047,352.80624 354.8454,366.52388 353.8246,379.95552 355.5244,393.689 353.22462,407.5017 353.25352,393.56399 354.25145,379.95597 356.83766,366.39473 354.80539
S010,4,6,anger,1,262.48353 226.20529,263.03138 258.40454,265.12935 290.51646,270.82483 322.08135,279.53222 352.92199,295.94575 380.32172,320.07315 401.56445,348.56394 416.18615,379.90102 421.22427,411.45645 415.98122,439.64258 400.75766,464.22522 380.37188,481.8794 354.05128,487.99865 322.56583,491.45074 290.74069,497.00186 259.18173,497.0798 227.4767,273.2539 207.38067,288.05114 195.91512,306.92879 194.34528,325.45972 197.65638,342.10556 206.59622,404.25944 201.8649,422.58749 190.97889,443.16929 186.06591,464.18485 187.99796,482.96946 197.44404,372.89581 208.75617,374.04993 237.92395,374.59133 266.75299,375.62133 295.69825,354.26459 313.14483,366.64199 317.35195,378.57196 322.14658,390.12113 316.79603,401.54661 311.64521,292.31457 230.02928,305.22927 220.825,321.08059 221.22105,334.87071 228.867,320.83405 233.04504,306.25447 232.97867,411.9998 226.56775,425.29901 216.24634,442.06681 214.92055,454.80418 225.31032,440.62612 228.55914,426.17336 228.72385,335.15175 354.52947,350.42833 349.64349,364.9595 342.74212,380.37038 344.655,395.13288 342.68202,409.35837 347.5227,423.90944 351.25779,410.17122 360.55671,397.78037 371.48508,381.96325 374.0967,365.00874 371.88871,351.31929 360.40944,354.90675 355.17914,367.62126 354.10549,380.03813 355.97687,392.59882 353.69326,405.27311 353.74559,392.48992 354.77789,380.03784 357.27623,367.49602 355.15088
S010,4,7,anger,1,262.47199 226.0716,263.01288 258.18303,265.08707 290.21096,270.95171 321.69979,279.54762 352.53824,295.75165 379.96257,319.82349 401.24507,348.14526 415.87042,379.44516 420.69024,411.14646 415.87457,439.35147 400.71056,464.00865 380.31759,481.70842 354.04005,487.86915 322.57922,491.32831 290.69173,496.88335 259.14632,496.97687 227.38081,273.73302 208.64997,288.22673 197.11533,306.83848 195.15204,325.17865 198.19118,341.72613 206.83721,404.35171 202.78716,422.54859 192.01081,442.96761 187.40235,463.7719 189.37676,482.68949 198.25987,372.84401 208.64688,373.9929 237.80363,374.52941 266.62162,375.55417 295.55595,354.36129 313.57495,366.91888 317.59385,378.88222 322.62607,390.29689 317.11344,401.63092 311.85019,293.49877 230.89794,305.87197 221.97331,321.18051 222.26022,334.86958 228.91219,321.22585 232.47181,307.19088 232.47418,412.27066 226.81215,425.43296 217.15464,441.67157 215.7407,454.17038 225.60947,440.21058 227.95233,426.1785 228.01407,337.64257 354.31367,352.22813 350.08071,366.06938 343.67964,380.69967 345.41468,394.57964 343.65977,407.91912 348.22673,421.56145 351.86585,408.57239 360.67639,397.02183 371.22261,382.03101 373.4361,365.84787 371.52964,352.92516 360.30905,357.38772 355.14416,368.89547 354.01883,380.08438 356.10347,391.25464 353.79732,402.58715 353.86603,391.16547 354.92565,380.08394 357.35411,368.77316 355.12534
S010,4,8,anger,1,262.29683 225.87494,262.82199 258.04478,264.88753 290.10662,270.94881 321.65633,279.52001 352.60086,295.68455 380.10443,319.83213 401.44729,348.06622 416.23527,379.43922 420.98963,411.25472 416.43019,439.35619 401.09092,463.94047 380.47946,481.58966 354.12275,487.82929 322.66697,491.34321 290.72677,496.85168 259.13756,496.97731 227.29987,273.98591 209.61557,288.24486 198.0153,306.65486 195.72623,324.8541 198.54682,341.33423 206.96152,404.42345 203.50104,422.53363 192.81129,442.83942 188.46023,463.48822 190.47937,482.53526 198.90682,372.82956 208.64288,373.97094 237.78052,374.48546 266.59422,375.54238 295.49372,354.38348 313.90965,367.02083 317.67322,378.9825 322.72038,390.38347 317.26035,401.70984 312.00163,294.35684 231.55938,306.29211 222.86335,321.16204 223.0638,334.77996 228.89415,321.4505 231.93469,307.857 231.99039,412.49304 226.98651,425.55732 217.87978,441.3703 216.39549,453.67967 225.84214,439.8881 227.42319,426.19376 227.39419,339.71369 353.89529,353.66834 350.13602,366.94803 344.30809,380.9152 345.80493,394.01047 344.25206,406.58291 348.48334,419.42144 351.94536,407.08952 360.00972,396.20395 369.87589,382.07626 371.88382,366.63153 370.12998,354.24543 359.57459,359.76291 354.62927,370.13977 353.49134,380.16421 355.79544,390.07214 353.40748,400.19887 353.48241,390.00144 354.52773,380.16406 356.94119,370.01665 354.62277
S010,4,9,anger,1,262.15262 225.89241,262.67487 258.31222,264.78417 290.54785,271.09639 322.32842,279.812 353.49386,296.23903 381.0956,320.66335 402.46294,348.91415 417.63743,380.49174 422.57067,412.28182 417.9215,439.98291 401.99711,464.15314 380.81774,481.51458 354.2067,487.85523 322.78486,491.47177 290.88109,496.80299 259.21221,496.96037 227.35646,274.09445 210.31444,288.21497 198.67284,306.50725 196.1895,324.62535 198.87949,341.06822 207.15673,404.43724 204.03503,422.49692 193.39312,442.73776 189.19094,463.29729 191.23427,482.42304 199.39151,372.94178 209.09002,374.09502 238.12811,374.58185 266.88483,375.7607 295.64128,354.46119 314.08813,366.96353 317.46788,378.83642 322.09947,390.41592 317.08427,401.85866 312.04559,294.82644 232.07799,306.50401 223.51482,321.11685 223.663,334.69399 229.00811,321.54819 231.74433,308.21358 231.83266,412.5987 227.20372,425.60602 218.41919,441.16948 216.89182,453.36912 226.08933,439.67465 227.22307,426.17787 227.1419,341.15934 353.08184,354.59487 349.43997,367.54672 344.28994,381.07149 345.43786,393.57477 344.04121,405.61463 347.82404,417.85948 350.95403,406.01086 357.83197,395.46199 366.49556,382.25012 368.66646,367.47585 366.79885,355.19738 357.6494,362.0249 353.19523,371.44837 352.1147,380.46982 354.62782,389.39532 352.05538,398.60971 352.1129,389.34074 353.07063,380.47117 355.56902,371.31892 353.20091
S010,4,10,anger,1,261.81447 225.94409,262.34999 258.69565,264.53375 291.16927,271.10637 323.25103,280.04652 354.68072,296.8706 382.38624,321.6562 403.76029,349.99345 419.38773,381.8351 424.59435,413.54637 419.68427,440.75258 403.02771,464.39103 381.1599,481.38112 354.22198,487.81787 322.82709,491.54344 290.98283,496.64793 259.21014,496.82579 227.34968,273.89583 210.71632,287.94633 199.04173,306.18455 196.44739,324.27005 199.0633,340.70467 207.2664,404.26002 204.30132,422.29966 193.67295,442.51661 189.54135,463.04103 191.59217,482.22147 199.60284,372.93036 209.60324,374.11047 238.52729,374.57664 267.22159,375.9142 295.81098,354.39674 314.11774,366.67783 317.09479,378.43296 321.14533,390.27321 316.71154,401.88637 311.9684,294.83937 232.38746,306.38354 223.88752,320.86718 224.00396,334.4301 229.08831,321.37459 231.66712,308.17087 231.77637,412.48182 227.31083,425.46453 218.6893,440.90284 217.13379,453.05292 226.19973,439.401 227.09924,426.00184 226.9939,341.95957 352.13543,354.99831 348.41654,367.78591 343.91194,381.03561 344.69571,393.11919 343.41251,404.81071 346.7444,416.64155 349.50503,405.12197 355.12156,394.69662 362.47005,382.31449 364.96839,368.08881 362.86738,355.69139 355.32625,363.80667 351.43045,372.48255 350.43645,380.70575 353.13186,388.90698 350.34581,397.46737 350.37736,388.86495 351.22058,380.7081 353.84344,372.34456 351.44844
