subject_id,session_id,image_id,peak_emotion,ckplus_labelled,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67,landmark_68
S005,1,1,disgust,1,217.79878 217.08728,216.89078 254.86311,223.67206 292.07462,238.23885 326.79248,254.94789 360.61587,279.53139 388.90414,310.45043 410.4245,345.37818 425.29204,382.36266 428.5127,418.06689 424.13911,449.99561 408.56366,477.42884 385.63278,499.83194 357.7259,509.4947 323.37268,516.13174 287.86876,518.15853 252.06194,518.69634 216.55158,247.6201 180.34162,268.70792 165.39026,293.56778 158.93545,319.16937 160.78699,343.48894 169.15112,397.25624 164.28431,420.26527 156.48688,443.57508 150.79923,467.19522 154.8427,488.87233 165.42594,372.77664 199.50671,373.99586 223.36618,375.57578 246.90136,378.10595 270.34028,345.61168 293.24677,361.62731 300.03883,378.63337 301.76439,393.55789 298.57543,406.85187 291.64665,280.10863 206.43671,300.22526 197.40182,321.95062 195.23294,339.75602 206.9707,319.74604 209.5415,299.69791 210.59487,405.25688 203.23706,420.24655 189.68711,440.47753 188.93026,459.57889 196.31247,442.35281 203.82019,423.65388 206.10059,329.76923 340.096,344.93415 328.45414,359.76855 316.54668,377.56618 319.87236,395.18127 314.47085,411.2173 325.09745,427.09559 335.85024,415.7554 349.79882,398.78054 356.02983,380.76123 358.75053,361.44337 358.76781,343.08983 353.52445,341.63086 335.00864,353.49249 334.72611,377.56554 336.91333,402.31187 331.58481,414.70373 331.84948,401.78216 332.11416,377.03251 337.44653,353.00775 335.29117
S005,1,2,disgust,1,217.80144 217.0217,216.8729 254.80347,223.6253 291.9939,238.17247 326.72638,254.86141 360.56799,279.57368 388.74265,310.48732 410.24967,345.29142 425.33233,382.27928 428.57197,417.88265 423.96414,449.73134 408.22836,477.10217 385.27642,499.61162 357.52617,509.70835 323.35937,516.18727 287.89021,518.19401 252.13314,518.75059 216.64828,247.67604 180.08204,268.87295 165.15403,293.80305 158.7677,319.43927 160.91637,343.6014 169.70802,396.78067 165.1781,419.76838 156.78979,443.22027 150.85814,467.12321 154.75858,488.94908 165.49783,372.92408 199.96388,374.05064 223.81653,375.60321 247.3494,377.84559 270.80561,345.3389 292.97585,361.37859 299.86921,378.42694 301.83687,393.7572 298.59187,407.2292 291.2263,280.02757 206.23373,300.12681 197.40256,321.74688 195.27542,339.55017 206.83142,319.59383 209.35488,299.59829 210.27635,405.63702 203.15736,420.73387 189.8473,440.91166 189.08675,459.96707 196.35401,442.67883 203.62132,424.01932 206.00115,329.87195 339.84665,344.90314 328.13371,359.81032 316.48857,377.57912 319.78445,395.14854 314.48984,411.17067 324.97092,426.96524 335.72133,415.6784 349.67627,398.69147 355.85628,380.68586 358.41489,361.30286 358.37938,342.80716 353.53176,341.74356 334.84332,353.61517 334.56168,377.68438 336.91832,402.29602 331.34791,414.63063 331.64858,401.76624 331.94925,377.12854 337.33623,353.1211 335.12495
S005,1,3,disgust,1,217.97353 216.9571,217.04082 254.75268,223.77078 291.89137,238.31264 326.63989,254.9943 360.50293,280.01004 388.41044,310.93488 409.85688,345.49185 425.36046,382.49046 428.60179,417.87495 423.45858,449.53736 407.34844,476.7517 384.32293,499.45818 356.88211,510.4417 323.10131,516.54737 287.69895,518.47405 252.04535,519.03337 216.61398,247.9231 179.5736,269.34484 164.73783,294.40002 158.50578,320.09152 161.23174,343.9028 170.90371,395.93667 167.07481,418.83872 157.38823,442.58169 150.90837,467.07469 154.42373,489.22608 165.4417,373.38646 200.84852,374.34095 224.68552,375.86002 248.21195,377.51506 271.70242,345.03298 292.24551,361.11718 299.36929,378.25752 301.82954,394.39986 298.44418,408.22199 290.16898,280.03078 205.84544,300.05197 197.41216,321.4336 195.37643,339.25529 206.46883,319.42542 208.88435,299.55337 209.56248,406.59813 202.86656,421.92747 190.09854,441.97848 189.29052,460.93836 196.26414,443.52081 202.98989,424.94765 205.5582,330.35856 339.22008,345.05404 327.29648,360.12509 316.20865,377.84027 319.45104,395.32163 314.36397,411.34688 324.4896,426.93869 335.26275,415.80613 349.25395,398.81095 355.35371,380.84104 357.59271,361.32828 357.46145,342.55037 353.39805,342.24264 334.38489,354.12671 334.10493,378.1748 336.75513,402.5068 330.71408,414.72275 331.08425,401.98048 331.45443,377.58469 336.94216,353.61954 334.66485
S005,1,4,disgust,1,217.85829 217.08307,216.95013 254.89032,223.66625 291.91036,238.22163 326.6629,254.91152 360.53874,280.51521 387.90731,311.46685 409.20413,345.55556 425.4698,382.56236 428.68165,417.5128 422.49682,448.79536 405.65757,475.68266 382.47916,498.73039 355.61597,511.36112 322.56925,516.72745 287.30311,518.47166 251.85839,519.00601 216.54213,247.90542 178.84846,269.76677 164.44177,294.9711 158.62623,320.67575 162.30877,343.71916 173.61114,394.01238 171.23797,416.59977 159.0033,440.85686 151.44653,466.39583 153.97732,489.15639 165.37445,373.74615 202.64677,374.39451 226.44397,375.86943 249.94746,376.43131 273.49285,344.13615 290.57771,360.24755 298.25238,377.55877 301.61197,395.03465 297.92455,409.41879 288.05352,279.64308 205.4491,299.37092 197.69778,320.23948 195.92291,338.14069 205.87618,318.60082 207.98636,299.015 208.28649,407.88894 202.40867,423.71958 190.856,443.4679 189.86561,462.22122 196.14342,444.55038 201.65581,426.15163 204.42064,330.78315 337.91083,344.66432 325.40132,360.11989 315.42304,377.74586 318.66526,395.10958 313.9532,411.23076 323.2669,426.29285 334.24878,415.57733 348.3567,398.62371 354.35929,380.74594 356.0325,361.03148 355.72129,341.82958 352.84636,342.65919 333.43422,354.53522 333.15745,378.47281 336.17126,402.31009 329.50779,414.30147 329.97955,401.80379 330.45132,377.87439 335.97786,354.02932 333.71099
S005,1,5,disgust,1,217.79715 217.09126,216.88936 254.86743,223.55601 291.72144,238.08439 326.44927,254.73974 360.31244,280.93186 387.08324,311.86182 408.2158,345.3926 425.31463,382.36377 428.51756,416.80722 421.23543,447.65367 403.64732,474.1722 380.34913,497.5837 354.15951,512.01131 321.95457,516.59508 286.88084,518.16512 251.70448,518.69737 216.55373,247.94282 177.99859,270.3125 164.43935,295.55911 159.28826,321.13618 163.87332,343.17798 176.93093,392.12161 176.39873,414.17438 161.3338,438.93824 152.6075,465.49601 153.78044,488.87279 165.42781,374.03433 204.59762,374.33267 228.32525,375.74103 251.77818,375.09948 275.35758,343.17631 288.12929,359.21895 296.57634,376.69501 300.89642,395.34411 296.86733,410.21301 285.46485,279.33206 205.13073,298.55356 198.06605,318.77605 196.72894,336.79179 205.13124,317.64026 206.74058,298.44461 206.7033,409.14669 201.93635,425.61347 191.98458,444.94109 190.71227,463.41324 196.08321,445.4563 199.99832,427.2671 202.73004,330.94199 336.00944,343.72004 322.65332,359.69958 313.9829,377.22843 317.38805,394.52743 313.09368,410.84308 321.36884,425.11061 332.81588,414.99183 347.08468,398.15767 353.01899,380.41933 354.09679,360.55646 353.5565,341.05764 351.54737,342.76509 332.02011,354.58819 331.74747,378.29345 334.94528,401.63759 328.00806,413.3741 328.54977,401.16935 329.09147,377.76074 334.41297,354.11716 332.29276
S005,1,6,disgust,1,218.05812 216.93089,217.13165 254.64474,223.76948 291.44753,238.25613 326.12612,254.86697 359.94214,280.97705 386.70661,311.84494 407.8271,345.3333 424.88132,382.24246 428.09902,416.65294 420.8922,447.47506 403.38048,473.97678 380.14026,497.34835 353.97945,511.69581 321.80171,516.32257 286.78116,517.91588 251.65346,518.46612 216.55495,248.17033 177.95461,270.61691 165.38274,295.55315 160.75614,320.77864 164.88868,342.43547 177.81441,393.02394 177.86011,414.57833 162.67447,439.20625 153.94735,465.44111 154.32908,488.71766 165.49679,374.02676 204.46244,374.32618 228.15343,375.72237 251.56999,375.11835 275.10827,343.64368 286.55508,359.44644 295.44957,376.88693 299.66601,394.73793 295.58298,409.2454 284.77273,279.811 205.54976,298.54077 198.26321,318.56664 197.30819,336.70393 204.87636,317.71826 206.06236,298.7017 206.27496,409.04239 201.92318,425.7454 192.66013,444.86023 191.13046,463.2241 196.09202,445.23264 199.31676,427.06786 201.38795,330.52335 334.95343,342.7335 320.99524,358.99754 312.52611,376.5611 316.36252,394.05882 312.0477,410.66267 319.91286,424.38225 332.00539,414.64929 346.40345,398.00265 352.48037,380.3462 353.66486,360.65776 353.06747,341.59514 349.8516,342.23812 331.17819,353.95289 330.90637,377.39212 333.47124,400.9071 327.63013,412.64468 328.05654,400.48367 328.48295,377.06688 333.16215,353.57491 331.45001
S005,1,7,disgust,1,218.13185 216.81938,217.20528 254.50269,223.83163 291.25932,238.30399 325.91061,254.89813 359.70146,281.06075 386.37492,311.90368 407.46111,345.29997 424.60515,382.17856 427.82027,416.50332 420.48581,447.25105 402.89607,473.68965 379.65828,497.08932 353.59845,511.64561 321.54646,516.17467 286.57412,517.74639 251.50396,518.2967 216.45048,248.23564 177.76709,270.79597 165.83329,295.57623 161.57305,320.60233 165.58833,341.91817 178.69172,393.19587 179.29569,414.40923 163.63165,439.03983 154.72849,465.25454 154.48838,488.57347 165.43298,374.03231 204.59932,374.28847 228.265,375.67509 251.65883,374.92468 275.18435,343.74039 285.31979,359.41065 294.56001,376.86 298.85516,394.45721 294.68884,408.84175 283.968,279.97262 205.68117,298.37 198.36851,318.2019 197.6736,336.42615 204.57297,317.58145 205.46762,298.71252 205.76986,409.1414 201.76816,426.06102 193.09464,445.00573 191.38234,463.27674 195.99239,445.22419 198.62666,427.10006 200.34729,330.31949 334.08373,342.0688 319.67809,358.55949 311.49775,376.13149 315.58276,393.72749 311.31163,410.51781 318.80737,423.83758 331.30771,414.39707 345.80296,397.86573 351.95146,380.26994 353.11228,360.6493 352.45685,341.7722 348.72838,341.97059 330.48517,353.62169 330.21425,376.89147 332.46326,400.42873 327.1582,412.13315 327.5335,400.03481 327.9088,376.68569 332.22438,353.29823 330.75609
S005,1,8,disgust,1,218.072 216.78765,217.15759 254.45647,223.78892 291.18433,238.26513 325.81783,254.86148 359.59159,281.07746 386.19436,311.91528 407.24932,345.25579 424.45272,382.12046 427.65443,416.38628 420.21221,447.07936 402.55062,473.46893 379.30103,496.88581 353.3031,511.58985 321.33304,516.03569 286.3877,517.58011 251.35244,518.11903 216.32489,248.16297 177.6607,270.80723 166.18017,295.47836 162.17726,320.36634 166.10272,341.44179 179.33448,393.22401 180.32964,414.18865 164.30272,438.82438 155.25956,465.0322 154.55814,488.39147 165.3367,373.95049 204.69826,374.18235 228.35002,375.56986 251.7314,374.71823 275.25263,343.74189 284.44205,359.32237 293.93062,376.78337 298.28019,394.20235 294.04621,408.49864 283.37918,279.98398 205.80149,298.14118 198.46426,317.83495 197.95168,336.12813 204.35936,317.38288 205.04865,298.61799 205.42105,409.13551 201.63791,426.21366 193.38704,445.03755 191.53552,463.24586 195.88424,445.1458 198.09439,427.04859 199.56804,330.12023 333.48539,341.53141 318.74772,358.18766 310.7723,375.77028 315.03228,393.43913 310.78716,410.37037 318.00934,423.40604 330.80347,414.18123 345.37527,397.73227 351.58195,380.1776 352.73014,360.6015 352.03855,341.85271 347.94758,341.72685 330.00737,353.33346 329.73701,376.48554 331.75113,400.04045 326.82374,411.72325 327.16245,399.66812 327.50116,376.36609 331.56211,353.04958 330.27774
S005,1,9,disgust,1,217.87925 216.92104,216.98713 254.63686,223.65038 291.40875,238.16627 326.07588,254.80451 359.88063,281.05634 386.51219,311.94517 407.57707,345.34875 424.76289,382.26095 427.94578,416.57461 420.49661,447.30332 402.81045,473.71837 379.51876,497.13979 353.46035,511.80352 321.42441,516.24973 286.42973,517.77796 251.34523,518.29582 216.27125,247.9804 177.74615,270.67324 166.52145,295.28862 162.64608,320.1167 166.41265,341.13048 179.59459,393.51598 180.71092,414.35734 164.62832,438.98258 155.56048,465.12784 154.60828,488.49994 165.23869,373.93214 204.67873,374.18643 228.36056,375.59157 251.77057,374.77917 275.32015,343.89063 284.18477,359.43275 293.80686,376.91494 298.11004,394.10691 293.84154,408.3049 283.33904,279.95797 206.04696,297.99545 198.60886,317.66852 198.19237,336.03467 204.35649,317.30485 204.93722,298.55889 205.40425,409.13739 201.64447,426.30451 193.56164,445.09846 191.61616,463.3113 195.84142,445.1741 197.87346,427.0526 199.16284,330.00363 333.47624,341.26 318.52803,358.0206 310.57552,375.64821 314.95906,393.40535 310.68284,410.45775 317.78866,423.36584 330.78699,414.24872 345.42929,397.83229 351.70371,380.27194 352.90556,360.71604 352.21282,342.06765 347.75404,341.59621 330.03495,353.18879 329.7642,376.3036 331.56898,399.95145 326.95119,411.65865 327.25486,399.59239 327.55854,376.24638 331.45088,352.93289 330.30569
S005,1,10,disgust,1,217.75754 217.0293,216.86691 254.7754,223.53967 291.58261,238.0699 326.2765,254.72439 360.10668,280.97083 386.78447,311.88547 407.87117,345.34115 425.02997,382.28337 428.21355,416.64605 420.80702,447.4172 403.13991,473.86798 379.83439,497.28909 353.72382,511.87975 321.62395,516.36321 286.59346,517.89856 251.46977,518.41487 216.36139,247.87487 177.86209,270.57818 166.72082,295.17415 162.88148,319.98555 166.55162,341.01095 179.65518,393.72218 180.76871,414.53724 164.76585,439.14699 155.73306,465.23379 154.7259,488.59211 165.28966,373.91289 204.67947,374.18481 228.38256,375.59543 251.81269,374.83897 275.37875,343.96614 284.25396,359.49554 293.91193,376.98414 298.16441,394.03862 293.89598,408.18135 283.52219,279.93521 206.227,297.94445 198.72176,317.63673 198.33554,336.03355 204.45487,317.2918 205.00242,298.53547 205.51935,409.10038 201.75197,426.28904 193.68609,445.08997 191.7133,463.31834 195.92243,445.17061 197.93135,427.02628 199.13758,329.90826 333.64273,341.1428 318.63214,357.93562 310.64361,375.58967 315.08014,393.39291 310.77781,410.49373 317.87582,423.37518 330.95249,414.27825 345.62122,397.86658 351.92578,380.29432 353.16941,360.74832 352.48019,342.15133 347.8235,341.49972 330.20387,353.09117 329.93278,376.20304 331.64443,399.9162 327.17633,411.64569 327.46213,399.56134 327.74792,376.17074 331.56974,352.8461 330.47497
