subject_id,session_id,image_id,peak_emotion,ckplus_labelled,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67,landmark_68
S010,6,1,happiness,1,261.22887 220.15071,262.80124 253.83664,264.93049 287.03762,272.36015 319.98992,279.59691 352.60345,299.2646 379.44196,325.31751 400.45109,355.42008 415.05762,388.2572 416.5664,419.66323 413.1034,446.73226 395.95776,470.88263 375.01426,484.6284 346.19281,491.62173 314.95073,495.20882 283.09681,498.9424 251.03089,501.67149 219.34762,270.13784 205.16194,285.4766 190.40344,307.48122 188.69976,329.00231 192.38589,346.82316 204.75786,399.88191 198.27751,419.68219 185.66808,442.01296 179.01865,465.33774 180.99411,485.45967 192.17719,372.72384 208.41449,373.62337 236.34877,374.42292 264.19232,376.3776 291.9427,355.57909 306.52315,367.84204 310.56645,379.88814 314.49217,391.75032 309.68985,403.4502 304.54673,291.65839 226.65038,305.33523 213.50434,324.7326 215.3989,339.49146 227.86278,323.50743 232.04113,307.07227 232.14326,407.59528 225.43958,422.69446 210.45572,443.52347 206.41448,457.05496 221.37125,441.35212 227.8096,424.35198 227.52075,335.48342 346.0267,351.24836 341.90326,366.83169 336.78032,382.70715 338.5763,396.97104 335.55951,411.25272 339.60007,425.62699 342.97482,413.25769 354.78831,400.2502 365.93014,383.97893 369.85537,365.80047 367.27843,350.82746 356.19891,350.72988 349.47686,366.81076 351.47429,382.94762 352.88706,398.11873 349.841,413.43064 347.97711,397.92339 350.23075,382.89166 353.71023,366.67642 351.76044
S010,6,2,happiness,1,261.22887 220.15071,262.80124 253.83664,264.93049 287.03762,272.36015 319.98992,279.59691 352.60345,299.2646 379.44196,325.31751 400.45109,355.42008 415.05762,388.2572 416.5664,419.66323 413.1034,446.73226 395.95776,470.88263 375.01426,484.6284 346.19281,491.62173 314.95073,495.20882 283.09681,498.9424 251.03089,501.67149 219.34762,270.13784 205.16194,285.4766 190.40344,307.48122 188.69976,329.00231 192.38589,346.82316 204.75786,399.88191 198.27751,419.68219 185.66808,442.01296 179.01865,465.33774 180.99411,485.45967 192.17719,372.72384 208.41449,373.62337 236.34877,374.42292 264.19232,376.3776 291.9427,355.57909 306.52315,367.84204 310.56645,379.88814 314.49217,391.75032 309.68985,403.4502 304.54673,291.65839 226.65038,305.33523 213.50434,324.7326 215.3989,339.49146 227.86278,323.50743 232.04113,307.07227 232.14326,407.59528 225.43958,422.69446 210.45572,443.52347 206.41448,457.05496 221.37125,441.35212 227.8096,424.35198 227.52075,335.48342 346.0267,351.24836 341.90326,366.83169 336.78032,382.70715 338.5763,396.97104 335.55951,411.25272 339.60007,425.62699 342.97482,413.25769 354.78831,400.2502 365.93014,383.97893 369.85537,365.80047 367.27843,350.82746 356.19891,350.72988 349.47686,366.81076 351.47429,382.94762 352.88706,398.11873 349.841,413.43064 347.97711,397.92339 350.23075,382.89166 353.71023,366.67642 351.76044
S010,6,3,happiness,1,261.14348 220.3892,262.67782 254.08506,264.81569 287.30332,272.18174 320.27183,279.51876 352.86805,299.2154 379.69929,325.27996 400.71773,355.38734 415.33045,388.2381 416.84169,419.66568 413.38164,446.75593 396.22817,470.93239 375.28007,484.76768 346.48421,491.77666 315.2252,495.32573 283.34038,499.01963 251.25859,501.69214 219.54675,270.07295 205.2847,285.39758 190.52978,307.3817 188.81603,328.88644 192.50732,346.68777 204.87896,399.9378 198.39703,419.73272 185.77696,442.07394 179.14463,465.39926 181.11831,485.51088 192.32433,372.7231 208.50091,373.62953 236.47413,374.44997 264.35163,376.39553 292.13588,355.551 306.72038,367.82524 310.7679,379.88235 314.69901,391.75544 309.89404,403.46661 304.7495,291.54204 226.7727,305.27368 213.64496,324.6963 215.53125,339.47427 228.00889,323.4525 232.1427,306.98653 232.25939,407.60156 225.57969,422.688 210.57366,443.52667 206.55374,457.10078 221.49234,441.39583 227.96631,424.37708 227.68248,335.28364 346.12519,351.10982 341.96208,366.75603 336.82894,382.70071 338.62723,397.05373 335.61085,411.42817 339.61147,425.86772 343.04487,413.52431 355.10652,400.4069 366.40309,383.95238 370.30606,365.65116 367.71728,350.63611 356.48881,350.51373 349.5717,366.70478 351.4043,382.95228 352.86835,398.25883 349.76032,413.70356 348.02833,398.13224 350.62109,382.87877 354.12601,366.49945 352.14673
S010,6,4,happiness,1,260.94624 220.75101,262.34808 254.44569,264.55494 287.69248,271.73965 320.67617,279.42906 353.18071,299.18734 379.97541,325.27928 400.9892,355.39223 415.56289,388.2634 417.07591,419.71776 413.60765,446.83599 396.43159,471.06605 375.48146,485.15068 346.79162,492.12306 315.48954,495.55584 283.53489,499.12982 251.44363,501.62155 219.6673,269.94269 205.26384,285.16075 190.51725,307.02945 188.76941,328.44713 192.44043,346.11697 204.8255,400.08711 198.27884,419.8335 185.63675,442.1762 179.07217,465.47074 181.03022,485.50055 192.32128,372.69336 208.29347,373.64043 236.36252,374.54131 264.3099,376.4525 292.17114,355.55862 306.84092,367.81811 310.89407,379.86128 314.82112,391.72916 310.01934,403.43159 304.8666,291.14655 226.73447,305.04363 213.65369,324.54683 215.50017,339.38248 228.02155,323.24423 232.03874,306.68321 232.21338,407.57749 225.52167,422.59507 210.4252,443.46762 206.50775,457.17282 221.40399,441.47819 228.01379,424.40715 227.73998,334.78948 346.03702,350.77349 341.73396,366.56841 336.50046,382.70583 338.26364,397.29445 335.2869,411.9147 339.16977,426.50173 342.79551,414.37425 355.69819,400.87345 367.42988,383.85034 371.21004,365.22121 368.6187,350.11347 356.97774,350.08913 349.48329,366.50628 350.64551,383.00369 352.24813,398.6528 348.97367,414.41372 347.73919,398.72471 351.40765,382.84397 354.95493,366.07746 352.93921
S010,6,5,happiness,1,261.11001 223.10515,261.69631 256.48248,264.37694 289.59359,270.59685 322.34527,280.19508 354.0406,299.99953 380.4759,326.02123 401.25202,355.93627 415.34401,388.64169 416.88836,419.89974 413.37375,446.8835 396.22464,471.18036 375.46804,486.41193 347.6137,492.83924 316.30944,495.71084 284.28334,498.71254 252.49454,500.28319 220.66555,270.43701 205.62565,284.77404 191.01785,305.70516 189.13099,326.39258 192.559,342.95807 205.04579,400.93721 198.00809,420.20983 185.40155,442.3207 179.32545,465.1874 181.18909,484.45366 192.95883,372.72598 207.52375,373.91698 235.83295,375.25231 263.83994,376.90271 291.83535,356.24864 307.15032,368.14349 311.20078,379.8344 315.01734,391.45082 310.3282,402.86435 305.16476,289.65659 226.86797,304.34159 214.07654,324.16491 215.67613,339.19444 228.38645,322.53058 231.84695,305.56803 232.35136,407.35935 225.42028,421.83584 209.86808,442.80093 206.69543,457.08262 221.37378,441.59059 228.73616,424.36269 228.46391,333.05163 345.45823,349.63337 340.40232,365.91904 334.40087,382.8704 335.81169,398.43275 333.24275,414.05881 336.54059,429.09312 341.21228,418.74061 358.68952,403.12845 372.40818,383.23514 375.28307,363.23925 372.81644,347.90497 359.28936,349.14924 348.95462,366.12661 345.96668,383.42737 348.21376,400.43469 344.22538,417.35181 345.98268,401.50961 355.28834,382.71736 358.86535,364.56498 356.88942
S010,6,6,happiness,1,260.86299 224.61376,260.96313 257.82829,263.79201 290.87352,269.05761 323.55576,280.10467 354.66215,300.22627 380.67849,326.2141 401.34662,355.93715 415.3636,388.53487 416.85498,419.82173 413.35838,446.83802 396.19919,471.25122 375.5154,487.63406 348.26218,494.22421 316.99856,496.41377 284.81231,498.70848 253.0757,499.33765 221.12646,270.34447 205.56721,284.33938 191.13288,304.78434 189.06933,325.05251 192.52248,341.24209 204.82803,401.38502 197.72687,420.37466 185.03573,442.42942 179.21346,465.10078 180.98531,484.08594 192.92419,372.63185 206.70983,373.97039 235.33182,375.6637 263.58597,377.2355 291.82435,356.06102 307.03885,368.05452 311.08801,379.84016 314.93444,391.52233 310.21534,403.01196 305.05793,288.72951 226.55944,304.06424 214.1407,324.06549 215.56111,339.26147 228.30961,322.2027 231.09128,304.95275 231.84291,407.07841 225.16232,421.19939 209.42085,442.08703 206.52092,456.8969 220.72566,441.53983 228.56461,424.20401 228.41814,330.57174 343.46643,347.91409 337.83259,365.00141 331.74877,382.84206 333.16557,399.61294 330.54998,416.51103 333.15979,432.4365 338.61341,422.54105 359.60787,405.52165 375.60066,383.07996 378.22491,361.39174 375.64023,345.50089 360.01244,346.16817 346.82763,364.69572 341.46631,383.57121 344.42364,402.48752 339.46568,421.32773 343.06031,404.68213 357.39782,382.70952 361.42257,362.16746 359.04217
S010,6,7,happiness,1,260.60999 225.09842,260.51909 258.24154,263.29475 291.24778,267.88883 323.92938,279.7266 354.70502,300.17711 380.38065,326.13501 401.0194,355.70189 415.16451,388.22402 416.58195,419.61071 413.13369,446.70723 395.96694,471.20696 375.29794,488.38687 348.38308,495.4184 317.19176,497.07579 284.87811,498.81338 253.08755,498.77648 221.04754,270.11634 205.16864,284.11195 190.88297,304.40948 188.67986,324.51223 192.27304,340.76113 204.30877,401.51705 197.38477,420.38265 184.5901,442.46114 178.84344,465.08496 180.5523,484.07881 192.4563,372.53506 205.96611,373.92752 234.81841,375.83178 263.31079,377.42846 291.74631,355.549 306.53121,367.81653 310.57665,379.86654 314.50593,391.73264 309.7038,403.43641 304.56273,288.43316 225.95504,304.14785 213.84967,324.19175 215.17798,339.47708 227.87496,322.21634 230.11878,304.83133 231.0018,406.8488 224.74462,420.79844 209.00763,441.53397 206.085,456.6775 219.83015,441.39349 227.86712,424.01923 227.86418,328.53153 341.14351,346.47061 335.19302,364.25361 329.37689,382.73911 330.9663,400.45106 328.11197,418.35079 330.19245,435.09123 336.06858,424.90061 359.02434,407.23171 376.72459,383.17421 379.46749,360.16598 376.68562,343.74886 359.49713,343.15972 344.32714,363.22906 338.13271,383.5499 341.61764,404.04554 335.8684,424.56698 340.21387,407.05872 357.78446,382.75061 362.30764,360.08349 359.43723
S010,6,8,happiness,1,260.18727 225.08606,260.07495 258.2501,262.67968 291.27313,266.79154 324.0298,279.01522 354.67848,299.80473 380.10853,325.76111 400.79403,355.22971 415.20078,387.73495 416.54491,419.29429 413.16403,446.52993 395.9786,471.12814 375.27318,488.89161 348.50716,496.5198 317.36962,497.76477 284.91495,499.06559 252.97461,498.5581 220.82604,269.66236 204.68389,283.87395 190.51248,304.24866 188.19871,324.36068 191.99954,340.93149 203.74382,401.45635 197.13826,420.31933 184.22323,442.49228 178.4455,465.18092 180.11776,484.36745 191.88934,372.40105 205.41252,373.78524 234.47122,375.80147 263.21988,377.47549 291.8502,354.78867 306.04653,367.43139 310.09496,379.84378 314.14143,391.96807 309.22721,403.97003 304.10487,288.36911 225.32554,304.31238 213.47701,324.34254 214.77398,339.6834 227.38901,322.32146 229.19718,304.87399 230.13555,406.65217 224.40027,420.5637 208.76313,441.13505 205.65122,456.50103 218.98593,441.23096 227.05835,423.8396 227.19821,326.71383 338.98971,345.15235 332.88564,363.56108 327.52518,382.54332 329.3832,401.02227 326.19467,419.74558 327.86999,437.23692 333.95687,426.30874 357.92008,408.42348 376.93996,383.32856 379.9992,359.24717 376.97098,342.33485 358.57573,340.16593 341.98532,361.73277 335.87824,383.38108 339.77524,405.22378 333.37499,427.2313 337.83018,408.82952 357.47351,382.744 362.49391,358.17408 359.09205
S010,6,9,happiness,1,259.71959 224.90215,259.70273 258.13461,262.08414 291.19885,265.84132 324.06532,278.22667 354.69506,299.3704 379.92024,325.34739 400.6795,354.75285 415.4077,387.26996 416.66172,419.03635 413.34395,446.43121 396.12289,471.11919 375.34254,489.32264 348.61129,497.62047 317.52005,498.50675 284.92156,499.42517 252.78015,498.54578 220.51847,269.11891 204.26831,283.66234 190.1867,304.24101 187.76931,324.4624 191.80616,341.51246 203.23602,401.29446 197.00125,420.21582 183.94881,442.51728 178.0672,465.33307 179.70634,484.82267 191.27626,372.26797 205.03741,373.62183 234.28175,375.7059 263.2905,377.50219 292.10763,353.96142 305.62979,367.03807 309.67845,379.86957 313.85563,392.2907 308.80747,404.6349 303.70061,288.49167 224.78794,304.56461 213.15745,324.54462 214.44809,339.92471 226.95292,322.52611 228.3942,305.06277 229.35198,406.5003 224.14391,420.44089 208.65841,440.83562 205.24912,456.36321 218.19225,441.07952 226.21097,423.68692 226.50209,325.13236 336.99659,344.0063 330.82741,362.99195 326.02546,382.38029 328.19905,401.51877 324.61296,420.95847 325.94782,439.16179 332.11205,427.24928 356.52141,409.41313 376.63729,383.62721 380.13915,358.62204 376.84692,341.22927 357.46509,337.28623 339.78836,360.31612 334.30205,383.21868 338.5335,406.26472 331.55757,429.64036 335.73638,410.33728 356.77359,382.81015 362.29927,356.47334 358.35177
S010,6,10,happiness,1,259.62338 224.78052,259.65252 258.01238,261.8134 291.05589,265.23249 323.96027,277.71042 354.53044,299.09179 379.55956,325.02178 400.36849,354.30896 415.36658,386.77866 416.57337,418.66647 413.34399,446.16349 396.14847,470.90417 375.36479,489.47434 348.72909,498.34635 317.73867,498.95898 285.07556,499.58347 252.82209,498.42076 220.51939,268.96376 203.98929,283.77031 190.0217,304.48372 187.54061,324.75541 191.78659,342.16385 202.95027,401.24027 197.08984,420.18882 183.96248,442.56461 178.0266,465.44485 179.65632,485.1419 191.05773,372.27758 204.8838,373.57701 234.23573,375.6885 263.41505,377.55613 292.34173,353.32902 305.25464,366.74196 309.30937,379.89747 313.60116,392.55017 308.46181,405.16385 303.38866,288.83556 224.38974,305.00304 212.97819,324.90671 214.27897,340.28251 226.68507,322.88027 227.79801,305.43121 228.7553,406.41659 224.09144,420.36991 208.77104,440.58558 205.13975,456.2126 217.74632,440.93704 225.69468,423.57216 226.0959,323.88128 335.21499,343.09589 329.0173,362.53807 324.70758,382.23407 327.15938,401.90011 323.26638,421.90993 324.33054,440.67475 330.57081,427.94057 355.31623,410.14831 376.30714,383.81299 380.14587,358.07476 376.6138,340.32762 356.41438,334.92647 337.8407,359.14955 332.89287,383.06286 337.42293,407.09045 329.99691,431.57378 333.97136,411.52621 356.14208,382.8213 362.05437,355.0478 357.62927
