subject_id,session_id,image_id,peak_emotion,ckplus_labelled,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67,landmark_68
S010,3,1,sadness,0,265.06554 235.34352,264.81982 266.75153,269.09247 297.68054,274.82423 328.24132,283.65729 358.01814,302.17687 382.88399,326.53261 402.54429,352.72146 419.10209,383.0312 423.47758,413.87947 417.15615,440.74022 399.91148,466.87215 381.10101,483.8592 354.442,490.05339 323.13977,495.03174 291.56476,499.16265 260.03946,500.60032 228.28614,272.64249 209.28425,288.53826 196.53341,308.90622 194.08892,329.21199 197.47489,347.05647 207.32438,398.70045 205.43287,418.82661 192.72017,441.97098 187.40354,465.83716 187.22914,487.14118 196.88582,376.43482 208.3368,377.82525 238.37474,378.79965 268.65903,379.7112 298.40003,356.47455 312.53866,368.99351 316.8538,381.2051 321.80681,393.39884 317.3213,404.85065 311.6327,294.77113 229.95247,307.80315 219.93088,324.45933 220.31924,338.99321 228.25514,324.93443 235.29217,309.25772 235.59842,411.00921 229.17757,425.6651 216.4435,444.89301 214.19429,460.32533 225.24662,444.96918 232.55852,427.78425 232.26749,335.41534 354.21055,351.01751 349.08171,365.45734 341.60633,381.36479 344.01446,396.26348 341.0139,410.46363 347.17581,424.9958 352.15213,410.88488 361.30536,397.80272 371.73974,381.59685 374.11292,364.80592 371.79428,351.17878 360.8523,353.13341 356.10475,367.38299 355.52362,381.57058 356.58557,396.5129 355.22425,411.30053 354.89386,396.31462 355.76033,381.57219 357.62664,367.3106 355.94506
S010,3,2,sadness,0,265.03781 235.32191,264.78683 266.74203,269.03692 297.68923,274.75205 328.25048,283.60164 358.04977,302.11609 382.92104,326.48866 402.58061,352.69379 419.15425,383.01149 423.51649,413.87721 417.24281,440.7539 400.00004,466.88819 381.18813,483.81019 354.48667,490.12536 323.183,495.04838 291.59686,499.22274 260.07141,500.67811 228.3092,272.61349 209.25605,288.48573 196.46828,308.85465 194.02027,329.15628 197.43342,347.06794 207.19231,398.71337 205.29025,418.80261 192.61994,441.88515 187.26334,465.68918 187.10854,486.94396 196.72317,376.45776 208.29415,377.83781 238.36193,378.7971 268.66971,379.6856 298.43956,356.41994 312.46786,368.97277 316.82556,381.22944 321.79718,393.41298 317.29282,404.87685 311.6249,294.76827 229.93987,307.78044 219.84053,324.47371 220.22986,338.99582 228.2432,324.92781 235.24154,309.26532 235.53267,411.01841 229.12222,425.64766 216.32674,444.90596 213.99154,460.41161 224.97576,445.06756 232.44665,427.84605 232.20231,335.36685 354.19082,350.97431 349.07924,365.37322 341.54975,381.33222 343.96846,396.28187 340.94605,410.53409 347.17076,425.1397 352.15485,410.95659 361.19954,397.84826 371.65403,381.61052 373.91588,364.79884 371.79061,351.17103 360.76086,352.84477 356.05099,367.22339 355.43534,381.5457 356.44961,396.52193 355.14755,411.32221 354.83624,396.32442 355.69521,381.54719 357.48049,367.14486 355.86676
S010,3,3,sadness,0,264.84689 235.29861,264.62164 266.70603,268.89778 297.63636,274.63789 328.18446,283.5032 357.96245,302.03018 382.81279,326.41054 402.4408,352.61726 418.98556,382.92644 423.32395,413.77386 417.02166,440.6251 399.76349,466.73294 380.93565,483.6447 354.23958,489.90515 322.94193,494.81783 291.36504,498.95569 259.84624,500.38299 228.09544,272.40126 209.24067,288.26385 196.45181,308.62459 193.98662,328.92421 197.37665,346.82066 207.14395,398.45429 205.2054,418.53692 192.52052,441.62095 187.16348,465.4291 186.98524,486.69447 196.58807,376.20113 208.202,377.60362 238.25153,378.58854 268.54224,379.50337 298.29454,356.26376 312.36728,368.80535 316.70212,381.04895 321.65552,393.2268 317.14896,404.67982 311.47171,294.55911 229.89368,307.56626 219.80601,324.2472 220.18065,338.77353 228.16492,324.71494 235.17382,309.05444 235.48148,410.77149 229.00079,425.39372 216.21637,444.6357 213.8933,460.12371 224.88138,444.7863 232.31511,427.58112 232.07061,335.23917 354.0712,350.83691 348.93867,365.24042 341.41709,381.18228 343.82129,396.11551 340.79455,410.35862 346.98934,424.94418 351.9677,410.78674 361.03264,397.69435 371.4824,381.47302 373.78069,364.67049 371.62031,351.03508 360.63324,352.77861 355.91374,367.12011 355.29569,381.4045 356.31431,396.36599 354.98388,411.15834 354.6607,396.1689 355.52805,381.4068 357.34607,367.04337 355.72479
S010,3,4,sadness,0,264.68432 235.31086,264.44556 266.74803,268.65725 297.72616,274.35726 328.30297,283.2361 358.13249,301.72944 383.03966,326.19885 402.58933,352.44941 419.17554,382.77613 423.47305,413.6699 417.3089,440.56193 400.05763,466.64622 381.19842,483.47818 354.43154,489.93117 323.12904,494.80434 291.52971,499.00919 259.99692,500.48604 228.22539,272.25831 209.28829,288.09064 196.42046,308.46691 193.91228,328.77853 197.35033,346.7644 207.04244,398.50809 205.10347,418.55729 192.57685,441.53577 187.24796,465.22039 187.09834,486.39426 196.61588,376.19871 208.24782,377.54104 238.34626,378.4825 268.66876,379.33107 298.46814,356.04833 312.441,368.60933 316.82096,380.89234 321.76929,393.05042 317.25351,404.52756 311.6434,294.46358 229.93105,307.47822 219.72738,324.24103 220.08783,338.7517 228.236,324.63616 235.08775,308.99306 235.38208,410.77529 229.05769,425.38243 216.23072,444.66129 213.86256,460.21038 224.79963,444.86845 232.34874,427.63441 232.13643,334.89329 354.0973,350.51239 348.90486,364.93371 341.35486,380.93493 343.79418,395.98818 340.75166,410.35364 347.0181,425.02822 352.13529,410.7151 360.85379,397.54206 371.24272,381.29257 373.34763,364.4607 371.43184,350.77271 360.41266,352.19845 355.7366,366.71839 355.07422,381.1791 356.08516,396.1848 354.80313,411.00204 354.5661,395.99031 355.35483,381.18075 357.08565,366.63189 355.52001
S010,3,5,sadness,0,264.73243 235.38645,264.52175 266.82299,268.66593 297.82537,274.3427 328.41597,283.25263 358.26426,301.68522 383.23222,326.33114 402.52232,352.64045 419.10963,382.95366 423.28069,413.86659 417.31414,440.75624 400.05969,466.7079 381.11395,483.41595 354.27854,490.02241 323.00525,494.86042 291.41525,499.08011 259.89005,500.5883 228.13301,272.30466 209.49297,288.0689 196.50511,308.44632 193.87039,328.77071 197.33062,346.81965 206.99016,398.7489 204.99434,418.74471 192.75312,441.55325 187.55135,465.0315 187.39243,486.06928 196.74261,376.31831 208.31688,377.58039 238.42307,378.49392 268.72519,379.27489 298.53116,356.00643 312.51165,368.52977 316.8843,380.80154 321.75309,392.90727 317.24296,404.39123 311.7439,294.56891 230.01033,307.60907 219.68399,324.46829 219.98059,338.95618 228.32955,324.75316 234.88975,309.14654 235.20824,410.91985 229.09501,425.50485 216.29232,444.77575 213.97197,460.31054 224.88932,444.96654 232.39202,427.76634 232.18567,334.61549 353.91002,350.24376 348.51623,364.76333 341.00182,380.77869 343.47583,395.98955 340.42277,410.53155 346.69799,425.25207 352.10923,410.74801 360.21837,397.46967 370.41894,381.24821 372.31062,364.41109 370.60892,350.59874 359.73849,351.83885 355.09228,366.49631 354.37376,381.07976 355.44463,396.09603 354.13215,410.92399 354.04298,395.90742 354.67688,381.08173 356.38859,366.39985 354.83851
S010,3,6,sadness,0,264.69412 235.53436,264.54948 266.94904,268.59369 297.96981,274.24594 328.56582,283.21422 358.41974,301.54254 383.47187,326.49119 402.28079,352.89265 418.84379,383.16502 422.77926,414.08674 417.1356,440.94456 399.87175,466.63796 380.77135,483.1275 353.83562,489.94684 322.6282,494.72439 291.0731,498.93891 259.57623,500.48125 227.86409,272.2478 209.88216,287.88511 196.69389,308.2522 193.82824,328.5914 197.30738,346.72402 206.92672,398.95302 204.81108,418.85056 193.05844,441.36456 188.08785,464.48578 187.89512,485.29234 196.94848,376.3177 208.42375,377.45423 238.51691,378.33678 268.75838,379.01903 298.55,355.80453 312.58481,368.24497 316.92194,380.47716 321.63526,392.48511 317.13842,403.9684 311.82676,294.60518 230.15091,307.68568 219.63326,324.69426 219.80855,339.14189 228.47581,324.79759 234.53563,309.25923 234.90904,410.95925 229.12312,425.50048 216.38452,444.73561 214.17059,460.21681 225.06328,444.87661 232.4326,427.75788 232.2289,334.02385 353.49651,349.65582 347.73582,364.35227 340.30029,380.36773 342.82351,395.83098 339.75391,410.66318 346.01331,425.4347 351.93331,410.62841 359.00205,397.18414 368.86268,381.03271 370.42091,364.20152 369.04126,350.17143 358.47636,351.17555 353.87209,366.0246 353.05954,380.77234 354.24563,395.7872 352.85284,410.62191 353.01239,395.60908 353.38108,380.77533 355.09242,365.91283 353.5543
S010,3,7,sadness,0,264.49145 235.72185,264.43981 267.18619,268.31881 298.3227,273.9266 328.98515,283.03043 358.94007,301.24262 384.16579,326.70469 402.31525,353.32014 418.89543,383.60662 422.47218,414.62882 417.35148,441.51544 400.03749,466.8883 380.67057,482.98232 353.46487,490.31321 322.28693,494.9139 290.70111,499.19393 259.1825,500.80998 227.45802,272.02518 210.3524,287.46863 196.78686,307.86103 193.57457,328.25479 197.12781,346.65616 206.553,399.41685 204.23149,419.14859 193.22089,441.18095 188.49983,463.73271 188.2858,484.16869 196.8574,376.46274 208.43815,377.41186 238.6204,378.23389 268.87256,378.74509 298.74926,355.51792 312.71093,367.92121 317.07352,380.19646 321.60157,392.06972 317.0809,403.59326 312.05868,294.6072 230.3252,307.73491 219.381,325.05169 219.38042,339.45259 228.64521,324.864 233.9402,309.41699 234.37138,411.21061 229.0354,425.66999 216.25824,444.94124 214.04459,460.50027 224.80607,445.15772 232.26701,428.06156 232.14843,333.15712 353.09622,348.83171 346.82443,363.73977 339.39366,379.8728 342.00587,395.81106 338.86629,411.17526 345.21575,426.17245 351.88426,410.78562 357.30172,397.03648 366.73201,380.9009 367.63486,364.01126 367.03901,349.63907 356.74831,349.83924 352.25806,365.20544 351.24812,380.44124 352.51817,395.5392 351.10275,410.43363 351.64658,395.37715 351.62771,380.44559 353.21064,365.06152 351.80341
S010,3,8,sadness,0,264.23269 235.45792,264.18138 266.91097,267.96968 298.06283,273.53401 328.75776,282.61213 358.72146,300.72653 384.04645,326.3659 401.91225,353.01381 418.50998,383.27449 421.99169,414.30815 417.08444,441.19774 399.7956,466.43444 380.35171,482.5175 353.14147,489.89474 322.0042,494.58303 290.44531,498.85757 258.93374,500.52884 227.23506,271.80266 210.26397,287.22094 196.62359,307.62355 193.28544,328.04048 196.85263,346.40706 206.40756,399.4155 204.10365,419.15824 193.40769,441.08717 188.93732,463.48482 188.71117,483.8221 197.1694,376.28148 208.34537,377.10534 238.49963,377.87504 268.69856,378.29707 298.54674,355.10784 312.66374,367.40813 316.96819,379.59568 321.38526,391.4288 316.91626,402.95162 312.015,294.39649 230.09164,307.60621 219.13137,324.99022 219.07327,339.37188 228.48978,324.67781 233.46176,309.24921 233.92604,411.06351 228.9762,425.5584 216.34247,444.77982 214.34985,460.19488 225.21797,444.81668 232.3514,427.81607 232.14347,332.38134 352.62521,348.07252 346.09388,363.18214 338.81166,379.25241 341.47342,395.31643 338.37643,410.81528 344.66117,425.74848 351.70811,410.22613 356.51326,396.37021 365.65945,380.31472 366.44881,363.44711 365.79331,348.9299 355.80426,349.34606 351.29103,364.68698 350.28611,379.8665 351.72767,394.93052 350.20109,409.82136 350.92062,394.77389 350.69902,379.87063 352.36559,364.5394 350.84937
S010,3,9,sadness,0,263.87914 234.69689,263.7133 266.15291,267.34885 297.33318,272.78695 328.08665,281.72969 358.09096,299.70428 383.55468,325.38649 401.3592,351.99507 418.06626,382.23976 421.61711,413.30382 416.9162,440.26466 399.73202,465.50689 380.32604,481.74439 353.18941,489.18059 322.08632,494.08465 290.55117,498.44485 259.04084,500.25649 227.35161,271.57073 209.6266,287.0525 196.019,307.48592 192.68307,327.91876 196.3176,346.18825 206.09289,399.3847 204.00712,419.2129 193.53628,441.15512 189.32607,463.52144 189.16202,483.81708 197.6655,376.10562 208.10941,376.74907 238.24537,377.38552 268.41578,377.65917 298.24459,354.44605 312.45865,366.65081 316.74483,378.74321 321.12956,390.58363 316.74752,402.12204 311.94375,294.09149 229.45278,307.41433 218.58479,324.82179 218.55719,339.1736 228.06657,324.3967 232.82105,308.95722 233.25857,410.86135 228.91384,425.4531 216.45945,444.63974 214.7348,459.88112 225.78174,444.43826 232.54577,427.51341 232.18553,331.33309 352.06462,347.06549 345.42011,362.36239 338.32111,378.3559 341.06643,394.47824 338.07042,410.00494 344.33191,424.82569 351.65995,409.25068 356.12345,395.30868 365.03715,379.31241 365.78225,362.4669 364.88217,347.89062 355.07832,348.6643 350.52397,363.90625 349.6046,378.95391 351.24208,393.98773 349.66012,408.87256 350.52725,393.83194 350.1329,378.95577 351.85533,363.75887 350.16495
S010,3,10,sadness,0,263.77189 234.34393,263.48215 265.80881,266.84663 297.05534,272.07657 327.82582,280.9562 357.92859,298.7283 383.53012,324.54446 401.16704,351.16442 418.02417,381.3811 421.5396,412.50679 417.31195,439.56441 400.26106,464.74433 380.88529,480.78975 353.65189,488.83984 322.63513,493.69539 291.12193,498.32289 259.66198,500.35285 227.99531,271.56212 209.44133,286.96191 195.68722,307.40082 192.30339,327.80429 196.1211,346.26548 205.69666,399.63033 203.76206,419.33229 193.79326,440.93594 189.70395,462.90688 189.67737,482.88116 197.97575,376.2462 208.20943,376.64457 238.41345,377.07775 268.60623,377.0872 298.49766,353.76807 312.31157,365.9957 316.75524,378.16945 321.15871,389.93981 316.78658,401.52868 312.20779,294.11141 229.26601,307.44961 218.12939,325.0445 218.11714,339.28475 228.0974,324.38646 232.37685,309.03197 232.73133,410.87536 229.08545,425.41894 216.56425,444.67444 214.7458,460.03961 225.6515,444.60419 232.71989,427.62885 232.41561,330.27042 351.65452,346.04641 344.92201,361.35717 337.78769,377.47902 340.6674,393.90327 337.67843,409.71149 344.18438,424.72977 351.90033,408.76532 355.36678,394.61649 364.06953,378.57757 364.22459,361.67934 363.98884,347.02681 354.0456,346.87558 349.61969,362.59968 348.62286,378.11732 350.26524,393.24775 348.87865,408.16096 350.01536,393.0979 349.37424,378.11739 350.79232,362.42274 349.22821
