subject_id,session_id,image_id,peak_emotion,ckplus_labelled,landmark_1,landmark_2,landmark_3,landmark_4,landmark_5,landmark_6,landmark_7,landmark_8,landmark_9,landmark_10,landmark_11,landmark_12,landmark_13,landmark_14,landmark_15,landmark_16,landmark_17,landmark_18,landmark_19,landmark_20,landmark_21,landmark_22,landmark_23,landmark_24,landmark_25,landmark_26,landmark_27,landmark_28,landmark_29,landmark_30,landmark_31,landmark_32,landmark_33,landmark_34,landmark_35,landmark_36,landmark_37,landmark_38,landmark_39,landmark_40,landmark_41,landmark_42,landmark_43,landmark_44,landmark_45,landmark_46,landmark_47,landmark_48,landmark_49,landmark_50,landmark_51,landmark_52,landmark_53,landmark_54,landmark_55,landmark_56,landmark_57,landmark_58,landmark_59,landmark_60,landmark_61,landmark_62,landmark_63,landmark_64,landmark_65,landmark_66,landmark_67,landmark_68
S010,2,1,surprise,1,265.0508 235.20293,265.13428 267.96751,266.58159 300.26222,273.10711 332.17964,285.15946 362.43119,305.64791 388.11916,326.26631 413.01333,351.72812 432.93272,383.57231 436.38575,416.07659 431.76955,444.07285 415.27008,463.04949 388.75845,474.88119 358.8677,484.37324 327.50411,488.33405 294.94015,493.69735 262.6749,495.53709 230.48113,272.72158 205.77172,285.94009 189.23394,307.03562 185.34416,328.65736 188.59208,346.17715 201.0486,401.94885 192.42688,420.28459 178.33151,441.93144 171.43151,464.26289 175.04457,480.84314 190.17066,375.20929 212.69576,376.06307 239.6232,376.37229 266.26507,378.018 292.81867,354.71128 313.43082,368.1197 317.86746,381.68985 321.79517,392.60674 316.57472,403.57284 311.87389,290.96003 229.24055,306.68305 212.83687,329.54104 214.14436,343.69813 231.71915,325.56905 234.89807,307.28418 236.27212,402.7614 230.93011,419.08458 211.21073,444.27028 207.54947,458.92326 227.12334,440.95038 234.79252,421.74775 234.46419,338.81964 365.73387,348.5433 350.07152,363.12267 338.92633,380.80334 341.03655,398.11074 337.69769,413.22325 347.8967,421.79312 363.2428,413.84548 384.45627,404.5408 405.21786,384.63504 413.67874,364.46032 403.72105,352.33269 384.3397,345.26812 365.11442,361.14425 352.872,380.72312 351.19562,401.05953 351.41728,414.20729 365.42821,402.44801 383.16643,384.38592 393.74353,363.44478 381.33123
S010,2,2,surprise,1,265.00089 235.18242,265.04804 267.88766,266.44464 300.10118,272.84235 331.98846,284.8388 362.19762,305.81458 387.57556,326.26638 412.52712,351.47692 432.67471,383.3273 435.77625,415.95731 431.60041,444.1827 415.43506,463.04434 388.8149,474.85713 358.9634,484.47673 327.62367,488.35015 295.04535,493.80369 262.77547,495.68519 230.61779,272.6935 206.23681,285.72956 189.51548,306.83824 185.51443,328.58601 188.45293,346.13785 200.9076,402.12378 192.26352,420.43942 178.21154,442.01134 171.31315,464.24846 175.0257,480.7983 190.14679,375.46334 212.76172,376.28094 239.68688,376.41067 266.29371,378.15261 292.82723,354.75012 313.60444,368.26279 318.07589,381.98989 321.92376,392.79528 316.65414,403.68852 312.00169,290.85397 229.32614,306.75129 212.80457,329.78938 214.09161,343.86845 231.94819,325.60956 234.90245,307.238 236.33702,402.45386 231.23565,419.08862 211.26996,444.61166 207.54812,459.23952 227.57925,440.93534 235.07041,421.59646 234.78156,338.90483 366.22126,348.49465 350.23831,363.14351 339.03669,380.87101 341.26051,398.09281 337.77782,413.19156 347.96345,421.58999 363.50317,413.86298 385.05452,404.6485 406.06463,384.63888 414.64332,364.64005 404.23825,352.53655 384.87517,344.96334 365.37538,361.05518 353.0664,380.73083 351.4846,401.06429 351.61021,414.12091 365.75885,402.48436 383.702,384.58303 394.40784,363.62262 381.67172
S010,2,3,surprise,1,265.00089 235.18242,265.04804 267.88766,266.44464 300.10118,272.84235 331.98846,284.8388 362.19762,305.81458 387.57556,326.26638 412.52712,351.47692 432.67471,383.3273 435.77625,415.95731 431.60041,444.1827 415.43506,463.04434 388.8149,474.85713 358.9634,484.47673 327.62367,488.35015 295.04535,493.80369 262.77547,495.68519 230.61779,272.6935 206.23681,285.72956 189.51548,306.83824 185.51443,328.58601 188.45293,346.13785 200.9076,402.12378 192.26352,420.43942 178.21154,442.01134 171.31315,464.24846 175.0257,480.7983 190.14679,375.46334 212.76172,376.28094 239.68688,376.41067 266.29371,378.15261 292.82723,354.75012 313.60444,368.26279 318.07589,381.98989 321.92376,392.79528 316.65414,403.68852 312.00169,290.85397 229.32614,306.75129 212.80457,329.78938 214.09161,343.86845 231.94819,325.60956 234.90245,307.238 236.33702,402.45386 231.23565,419.08862 211.26996,444.61166 207.54812,459.23952 227.57925,440.93534 235.07041,421.59646 234.78156,338.90483 366.22126,348.49465 350.23831,363.14351 339.03669,380.87101 341.26051,398.09281 337.77782,413.19156 347.96345,421.58999 363.50317,413.86298 385.05452,404.6485 406.06463,384.63888 414.64332,364.64005 404.23825,352.53655 384.87517,344.96334 365.37538,361.05518 353.0664,380.73083 351.4846,401.06429 351.61021,414.12091 365.75885,402.48436 383.702,384.58303 394.40784,363.62262 381.67172
S010,2,4,surprise,1,265.00089 235.18242,265.04804 267.88766,266.44464 300.10118,272.84235 331.98846,284.8388 362.19762,305.81458 387.57556,326.26638 412.52712,351.47692 432.67471,383.3273 435.77625,415.95731 431.60041,444.1827 415.43506,463.04434 388.8149,474.85713 358.9634,484.47673 327.62367,488.35015 295.04535,493.80369 262.77547,495.68519 230.61779,272.6935 206.23681,285.72956 189.51548,306.83824 185.51443,328.58601 188.45293,346.13785 200.9076,402.12378 192.26352,420.43942 178.21154,442.01134 171.31315,464.24846 175.0257,480.7983 190.14679,375.46334 212.76172,376.28094 239.68688,376.41067 266.29371,378.15261 292.82723,354.75012 313.60444,368.26279 318.07589,381.98989 321.92376,392.79528 316.65414,403.68852 312.00169,290.85397 229.32614,306.75129 212.80457,329.78938 214.09161,343.86845 231.94819,325.60956 234.90245,307.238 236.33702,402.45386 231.23565,419.08862 211.26996,444.61166 207.54812,459.23952 227.57925,440.93534 235.07041,421.59646 234.78156,338.90483 366.22126,348.49465 350.23831,363.14351 339.03669,380.87101 341.26051,398.09281 337.77782,413.19156 347.96345,421.58999 363.50317,413.86298 385.05452,404.6485 406.06463,384.63888 414.64332,364.64005 404.23825,352.53655 384.87517,344.96334 365.37538,361.05518 353.0664,380.73083 351.4846,401.06429 351.61021,414.12091 365.75885,402.48436 383.702,384.58303 394.40784,363.62262 381.67172
S010,2,5,surprise,1,265.91831 234.22672,265.81501 267.02619,267.08168 299.36122,273.43321 331.34879,285.336 361.69715,305.68279 387.53815,326.16946 412.58568,351.53277 432.69002,383.38732 436.34151,415.95386 431.89938,444.07428 415.54073,463.20039 389.08697,475.1957 359.22095,484.88566 327.87937,489.0416 295.30128,494.5941 263.03072,496.62065 230.81177,273.7668 204.78047,287.08059 188.28802,308.21789 184.49913,329.84354 187.87106,347.30239 200.44984,403.1759 192.13142,421.60405 178.11434,443.31002 171.32105,465.64206 175.07851,482.13922 190.33162,376.30007 212.27939,377.00259 239.24376,377.15783 265.9183,378.65707 292.51238,355.20665 313.02671,368.6059 317.54673,382.17195 321.55473,393.12503 316.38823,404.12584 311.74634,291.864 228.3928,307.70319 212.0424,330.59511 213.48131,344.66945 231.17636,326.49423 234.25566,308.17329 235.52733,403.76417 230.72463,420.21824 211.05931,445.46449 207.53187,460.01125 227.23593,441.97435 234.8127,422.75195 234.37418,339.04375 365.36074,348.83199 349.68829,363.47728 338.59002,381.16617 340.79931,398.51696 337.56195,413.57927 347.88193,422.03132 363.34567,413.98519 384.58323,404.57391 405.35064,384.59127 413.73495,364.44705 403.61944,352.43662 384.11478,345.44312 364.76288,361.39758 352.54266,381.02256 350.95044,401.4054 351.30952,414.47604 365.47841,402.61843 383.24262,384.45959 393.76387,363.54365 381.17685
S010,2,6,surprise,1,265.46719 232.26744,265.58731 266.38012,267.20599 300.42413,275.10489 333.39622,287.2227 365.05909,301.60787 395.297,325.04524 419.6557,354.68032 436.24041,387.01152 444.49554,418.30236 434.41281,443.78484 413.44154,466.01177 389.33166,479.59838 359.11147,487.49756 327.00545,492.95994 294.30783,497.62817 261.75717,499.31763 228.65987,273.33604 196.98134,290.10808 183.52483,311.51293 182.12021,331.65468 190.14857,349.20524 202.65198,403.26027 195.23723,422.69754 181.10042,445.96175 174.81639,470.02182 176.82417,487.72145 191.7429,374.39535 211.77316,375.32098 239.00028,377.8618 266.43972,377.66676 293.55877,355.12803 311.26222,367.14297 315.36066,378.49149 320.69555,391.43278 316.37348,403.82283 311.02703,293.78768 225.70163,307.27126 211.75964,327.1682 213.69193,342.29713 226.86724,326.03188 232.96368,309.06423 233.24478,410.56485 225.82988,422.99908 210.26668,443.32479 207.98615,458.78236 220.52225,445.08026 230.47794,427.54949 229.35006,335.64454 356.74883,349.164 347.69607,363.74438 338.47856,380.95538 339.46644,399.48141 338.04612,415.23922 347.71344,427.9276 358.3498,415.11289 372.90712,403.15606 388.70274,384.6291 394.10627,362.01215 391.39154,348.74798 372.81247,350.31804 360.07165,363.97218 351.2937,381.81414 349.71151,401.30318 350.59599,416.25 359.99917,401.67925 371.59402,381.75294 378.63295,361.96439 372.1661
S010,2,7,surprise,1,264.89124 231.75499,264.98667 265.73756,266.5763 299.43831,273.97723 332.3867,286.4033 363.79744,303.45327 392.58348,325.7425 417.69281,353.69938 436.33823,386.21255 442.78196,418.51199 434.92545,445.49412 415.6646,466.20908 389.75032,478.87422 359.0625,487.76783 326.86148,492.73162 293.72186,497.78211 260.81281,499.59505 227.62837,272.81252 198.13835,288.007 182.88604,309.53317 180.08584,330.62609 186.03561,348.2619 198.85829,403.75086 190.72088,422.84461 176.21296,445.65802 169.40572,469.23331 172.39767,486.42634 187.90767,375.55362 209.34135,376.47456 236.87959,377.99626 264.39026,378.67501 291.69287,355.43385 311.17631,368.27801 315.53048,380.85729 320.29322,392.984 315.45778,404.84442 310.35209,292.09771 225.15155,306.89399 209.58532,328.70296 211.27062,343.63704 226.97832,326.15375 231.84274,308.19764 232.61966,408.10984 226.06752,422.50695 208.11099,445.53823 205.09083,460.66014 221.42607,444.81801 230.5118,426.26154 229.71321,338.01739 361.51542,349.43119 348.5122,364.00005 337.88169,381.68997 339.3283,400.03632 337.13547,415.58419 347.59528,425.90718 361.40347,415.61814 379.97799,405.04432 398.86982,385.4964 406.19921,363.59112 399.62447,350.99422 379.84094,348.17605 362.84823,362.89227 351.44364,382.04158 349.36505,402.63838 350.33542,416.78312 363.12003,403.52076 378.92299,383.84725 388.27033,362.87102 378.29928
S010,2,8,surprise,1,264.63946 231.55756,264.68959 265.38024,266.22771 298.75851,273.20765 331.63777,285.8258 362.80695,304.86693 390.43026,326.21551 416.0949,352.82328 436.32235,385.40759 441.38684,418.43984 435.27704,446.54866 417.38117,466.07425 390.14207,478.02702 359.15974,487.6953 326.94586,492.29098 293.52972,497.65024 260.40522,499.57994 227.21295,272.61844 199.28661,286.576 182.69467,308.15453 178.83944,329.93043 183.19182,347.59098 196.25183,404.08817 187.60902,422.89264 172.85519,445.32192 165.67489,468.48346 169.44005,485.24474 185.39461,376.44844 207.77828,377.34459 235.50855,378.05865 263.03053,379.38891 290.42419,355.63946 311.22943,369.09681 315.77987,382.59582 320.09913,394.07563 314.88881,405.51184 309.98831,290.94229 224.95937,306.72949 208.17502,329.97132 209.67722,344.7263 227.32041,326.3276 231.21938,307.64253 232.36628,406.16198 226.57046,422.04945 206.80588,447.12327 203.22933,461.95953 222.47489,444.48884 230.87089,425.17746 230.31649,339.8286 365.20209,349.59374 349.1915,364.12945 337.50028,382.15734 339.30845,400.33296 336.54049,415.68563 347.60735,424.16553 363.85467,415.84179 385.47723,406.34993 406.71027,386.05097 415.50103,364.72294 405.94467,352.67515 385.25288,346.47975 365.02261,361.98566 351.61711,382.10911 349.16672,403.52506 350.21616,417.02814 365.60264,404.80036 384.6111,385.35447 395.70721,363.49378 383.04012
S010,2,9,surprise,1,264.27793 231.08538,264.28877 264.89795,265.79281 298.20791,272.62135 331.1096,285.32321 362.23758,304.98631 389.54651,326.00242 415.46844,352.15268 436.31452,384.7891 440.98492,418.11616 435.4539,446.64961 418.0041,465.76859 390.2477,477.47269 359.10821,487.45665 326.85784,491.97329 293.3045,497.46431 260.06505,499.46224 226.82464,272.31437 199.15434,285.85728 182.07486,307.47617 177.84077,329.50182 181.67691,347.16251 194.86868,404.0567 186.07261,422.78089 171.20268,445.10847 163.88139,468.15398 167.95866,484.74559 184.13578,376.57221 206.78776,377.44508 234.62727,377.86627 262.19626,379.40316 289.66378,355.43635 310.95175,369.11634 315.58826,382.94481 319.77193,394.2151 314.43185,405.51938 309.60505,290.25543 224.46654,306.41857 207.21836,330.20881 208.67685,344.91805 227.04938,326.16601 230.62122,307.19153 231.88052,405.33441 226.4007,421.75322 205.97479,447.57289 202.21078,462.2952 222.52422,444.25197 230.69536,424.66227 230.20696,340.21362 366.35738,349.36428 349.21046,363.88204 337.10006,382.04811 339.03309,400.20769 336.09994,415.48726 347.45513,423.25521 364.67454,415.63828 387.44992,406.53475 409.57451,385.9355 418.91918,364.76429 408.26291,352.94745 387.14782,345.55624 365.64514,361.33143 351.42719,381.84613 348.79823,403.62797 349.94448,416.89747 366.39893,405.02461 386.67676,385.57785 398.44576,363.34311 384.74443
S010,2,10,surprise,1,263.89832 230.90902,263.87391 264.71066,265.33695 297.96306,272.01488 330.88793,284.74497 361.99378,305.10153 388.94639,325.8577 415.06339,351.62716 436.40532,384.33147 440.62032,417.93289 435.68217,446.87186 418.67115,465.70995 390.53268,477.27332 359.30133,487.51177 327.0117,491.92088 293.33967,497.53911 260.00023,499.5936 226.72408,271.97807 199.45674,285.18658 181.97174,306.85759 177.45073,329.12653 180.79921,346.83204 194.0672,404.14015 185.14884,422.82349 170.22656,445.06716 162.81768,468.01162 167.12458,484.51541 183.42666,376.7688 206.33969,377.61384 234.26387,377.76601 261.86175,379.48801 289.38273,355.3217 311.06784,369.20642 315.7745,383.33244 319.83222,394.42593 314.38066,405.62083 309.6173,289.69155 224.3375,306.18478 206.74167,330.41296 208.15782,345.06449 227.12282,326.01898 230.37659,306.81294 231.74366,404.67833 226.55967,421.6034 205.59028,448.07419 201.67489,462.7399 222.88191,444.15065 230.82528,424.29974 230.40409,340.43917 367.50602,349.18037 349.51945,363.74882 337.13286,382.03935 339.20665,400.1496 336.07845,415.40061 347.58271,422.68884 365.46105,415.59328 389.10225,406.75223 411.89315,385.90416 421.62583,364.91276 410.07827,353.21521 388.73554,344.8313 366.35361,360.9102 351.64394,381.71807 348.97817,403.71296 350.10345,416.81474 367.22636,405.20554 388.33734,385.8522 400.56691,363.38145 386.09088
