Emotion value,Carlos 2,Carlos 3,Carlos 4,Carlos 5,Carlos 6,Carlos 7,Carlos 8,Carlos 9,Carlos 10,Young 1,Young 2,Young 3,Young 4,Young 5,Nuwan 1,Nuwan 2,Nuwan 3,Nuwan 4,Nuwan 5,Nuwan 6,Nuwan 7,Nuwan 8,Nuwan 9,Nuwan 10,Nuwan 11,Nuwan 12,Nuwan 13,Nuwan 14,Nuwan 15,Nuwan 16,Gender,Age
3,0.29869852,0.109018965,0.203858735,0.034810448,0.101797093,0.161880292,0.170199287,0.38087077,0.210707857,0.805395557,0.952125672,0.543918387,0.845892071,0.51787866,0.063149896,0.084022264,0.110733305,0.136792372,0.0660787,0.081589457,0.107920631,0.130613383,0.103199216,0.071433068,0.039825105,0.03466878,0.066595198,0.098453448,0.161880292,0.064821352,0,22
3,0.299403378,0.109966831,0.204685095,0.03466291,0.102866175,0.1614572,0.169499443,0.380129422,0.210656083,0.803168015,0.948130955,0.545867465,0.847106627,0.517553841,0.062043322,0.083280187,0.110241967,0.136319332,0.064791949,0.080533736,0.10699924,0.130004518,0.102447526,0.070787896,0.039359997,0.034838504,0.066608538,0.098348158,0.1614572,0.064388177,0,22
3,0.300872094,0.112002771,0.206437427,0.034331067,0.105000852,0.16053471,0.167904111,0.378554321,0.210660474,0.797947218,0.939267647,0.55000533,0.849541897,0.516602212,0.059568673,0.08159312,0.109063367,0.135219455,0.062024005,0.078218321,0.104965477,0.128689067,0.100918104,0.069496742,0.038433895,0.035164077,0.066605758,0.098080453,0.16053471,0.063541362,0,22
3,0.303530171,0.11594688,0.209738493,0.033627596,0.108470547,0.158692428,0.164435004,0.375573792,0.211138821,0.786067936,0.920953469,0.557823637,0.85353708,0.513729613,0.054364817,0.077931153,0.106262194,0.132739881,0.056649776,0.073503362,0.100774562,0.126103427,0.098303457,0.067400859,0.036934394,0.035622764,0.066469301,0.097382248,0.158692428,0.062240914,0,22
3,0.306252838,0.12034768,0.213299723,0.032767924,0.111481345,0.156567858,0.16007864,0.372340122,0.212274311,0.770694894,0.899227608,0.566287613,0.857063204,0.509221455,0.048046369,0.073327151,0.102455778,0.129518437,0.051000877,0.067983636,0.095757515,0.123168747,0.09583521,0.065645974,0.035642914,0.035900253,0.066159208,0.09636187,0.156567858,0.061228111,0,22
3,0.305678676,0.120500551,0.213087132,0.032505672,0.109227911,0.156295959,0.158528483,0.37247221,0.213949896,0.762878084,0.893063437,0.565957174,0.854226086,0.505435659,0.046041086,0.071639484,0.100417106,0.128139916,0.048113076,0.065972231,0.09432238,0.122828047,0.096975989,0.067019672,0.036670229,0.035235824,0.06554311,0.095636371,0.156295959,0.062404892,0,22
3,0.305765081,0.121215507,0.213485885,0.032243653,0.108465971,0.155846383,0.157077311,0.372077838,0.215006246,0.756568379,0.886744524,0.5669963,0.853197689,0.502780864,0.044071648,0.070084253,0.0987961,0.126948117,0.045899556,0.064129072,0.092844413,0.122226358,0.097230036,0.067540404,0.037051006,0.034928196,0.065176159,0.095109239,0.155846383,0.062893739,0,22
3,0.305835059,0.121744245,0.213783506,0.032052305,0.107925406,0.155516025,0.156016686,0.37178429,0.215773049,0.751982075,0.882141902,0.567769675,0.852450239,0.500853421,0.042631264,0.068949736,0.097619578,0.126080469,0.044315624,0.062782745,0.091763927,0.121783709,0.097407728,0.067927569,0.037330905,0.034709173,0.064911194,0.094727922,0.155516025,0.063247708,0,22
3,0.305636776,0.121752335,0.213687088,0.031979842,0.10721724,0.155452002,0.155581785,0.371853362,0.216275439,0.749725446,0.880454757,0.567594345,0.851520695,0.499741141,0.042076147,0.068483912,0.097047531,0.125695547,0.04347247,0.062217448,0.091379873,0.121706493,0.097778915,0.068383775,0.03767411,0.03451309,0.06472527,0.094523883,0.155452002,0.063623438,0,22
3,0.305450666,0.121594617,0.213514662,0.031979198,0.10679803,0.15550161,0.155551081,0.372001897,0.216453629,0.749277264,0.880482976,0.56720854,0.850984385,0.499417464,0.042064813,0.068450841,0.096938976,0.125646143,0.043263624,0.062169603,0.091398559,0.121780341,0.098031387,0.068639163,0.037870721,0.034418686,0.064653418,0.094473322,0.15550161,0.063824531,0,22
3,0.305082594,0.12119974,0.213132558,0.032011768,0.106092158,0.155654688,0.155679992,0.372337691,0.216658995,0.749230111,0.881349385,0.566334226,0.850094325,0.499138322,0.042300242,0.068588866,0.09693947,0.125704994,0.043156293,0.062322407,0.091627558,0.122000276,0.098482544,0.069056749,0.038196179,0.0342773,0.064563174,0.094444254,0.155654688,0.064146113,0,22
4,0.360018766,0.14349576,0.251756404,0.039812539,0.101394951,0.216334477,0.227297393,0.453178776,0.225882183,0.751330245,0.955917453,0.606593417,0.785978165,0.579853234,0.057268103,0.081392269,0.112024504,0.141942726,0.065525293,0.092662444,0.122122189,0.15283413,0.12716447,0.092070367,0.057861195,0.056654252,0.089764867,0.123819099,0.216334477,0.063457196,0,25
4,0.359759196,0.143515739,0.251636527,0.039738204,0.100874321,0.216440475,0.227579028,0.453274233,0.225695311,0.751205244,0.955737049,0.606757368,0.785995734,0.579900497,0.057696583,0.081575224,0.111940629,0.141706455,0.065957418,0.093004976,0.122276575,0.152866621,0.127446111,0.092159702,0.057832495,0.056770472,0.090020044,0.124221861,0.216440475,0.064350703,0,25
4,0.360019787,0.143490197,0.251754145,0.039811444,0.101424393,0.216419938,0.227315449,0.453178157,0.225863526,0.751394636,0.955862142,0.606593978,0.786091009,0.579820219,0.05726526,0.081399578,0.112031086,0.141946792,0.065524405,0.092675562,0.122146092,0.152855946,0.127182236,0.092071461,0.057851496,0.056643718,0.089772676,0.123849762,0.216419938,0.06349969,0,25
4,0.359759526,0.143515592,0.251636618,0.039738257,0.100875664,0.216442648,0.227579207,0.45327415,0.225695049,0.751207005,0.955735669,0.606757219,0.785998713,0.579899516,0.057696062,0.081575236,0.111940908,0.141706813,0.06595695,0.09300499,0.122277078,0.15286719,0.127446304,0.092159675,0.057832283,0.056770078,0.090019978,0.124222247,0.216442648,0.06435092,0,25
4,0.359486491,0.143545931,0.251515158,0.039662679,0.100281751,0.216408587,0.227843084,0.453374977,0.225531974,0.75096712,0.955641429,0.606927785,0.785825203,0.580005336,0.058148821,0.081754559,0.111842251,0.141453159,0.066410545,0.09334204,0.122398499,0.152864532,0.12771203,0.092251169,0.057818761,0.056909529,0.090273373,0.124594781,0.216408587,0.065213361,0,25
